['blobDetector_multi-cee05c3d-a4f9-4883-bdf7-8124c921d75b', 'processing', 'memory', 'tcp://10.21.254.30:43459', 47037080364800, [['compute', 1533201371.5862665, 1533201553.6807375]]]
['blobDetector_multi-1452b057-20b7-4f93-9d58-090931412481', 'processing', 'memory', 'tcp://10.21.254.26:43060', 47402146858752, [['compute', 1533201371.5747273, 1533201553.7858713]]]
['blobDetector_multi-32efc580-df2b-4f67-bf0e-8f1b91a40715', 'processing', 'memory', 'tcp://10.21.254.30:32814', 47041103550208, [['compute', 1533201371.5778296, 1533201553.8451116]]]
['blobDetector_multi-abf97aa0-2f80-4dcb-bd2a-f8c486adb0ca', 'processing', 'memory', 'tcp://10.21.254.30:37176', 47037680744192, [['compute', 1533201371.5831597, 1533201554.4649377]]]
['blobDetector_multi-ac1b1843-9647-4e2d-aba3-77dd86997042', 'processing', 'memory', 'tcp://10.21.254.30:41389', 47037479417600, [['compute', 1533201371.583342, 1533201554.542931]]]
['blobDetector_multi-9b75f4fb-89ac-4f27-a4bc-6e56ea4e151f', 'processing', 'memory', 'tcp://10.21.254.26:38760', 47398120589056, [['compute', 1533201371.5822275, 1533201554.9483745]]]
['blobDetector_multi-5a7576be-badd-4521-bb16-80b9a742ac0e', 'processing', 'memory', 'tcp://10.21.254.30:43452', 47040499312384, [['compute', 1533201371.57896, 1533201554.960512]]]
['blobDetector_multi-af346570-ffba-447f-91e7-65468528afbe', 'processing', 'memory', 'tcp://10.21.254.30:44520', 47039895336704, [['compute', 1533201371.583445, 1533201554.999356]]]
['blobDetector_multi-5f6476df-5458-4470-ba8b-eefebc3008a8', 'processing', 'memory', 'tcp://10.21.254.30:45048', 47040297993984, [['compute', 1533201371.579231, 1533201555.245908]]]
['blobDetector_multi-e8bcaaf3-19ad-48b0-a9c9-7ea5aa609a09', 'processing', 'memory', 'tcp://10.21.254.30:46134', 47040096663296, [['compute', 1533201371.58918, 1533201555.291564]]]
['blobDetector_multi-d9ef6843-9760-4af6-ac81-3339b00c91f5', 'processing', 'memory', 'tcp://10.21.254.29:39715', 47122774783744, [['compute', 1533201371.588049, 1533201556.024995]]]
['blobDetector_multi-c6a452ab-dcb5-478a-b122-11dc2e221599', 'processing', 'memory', 'tcp://10.21.254.30:41976', 47037276227328, [['compute', 1533201371.5851328, 1533201556.144858]]]
['blobDetector_multi-aad20cad-66c9-47df-9ff5-a9e236b02a6c', 'processing', 'memory', 'tcp://10.21.254.30:33644', 47037882070784, [['compute', 1533201371.5833354, 1533201556.2368464]]]
['blobDetector_multi-d92a4627-5eda-47f5-ac66-744825aa1f3f', 'processing', 'memory', 'tcp://10.21.254.29:37270', 47121164171008, [['compute', 1533201371.587946, 1533201557.95903]]]
