['blobDetector_multi-e0bc6aec-76bb-4cbd-bdd3-68eef596a42e', 'processing', 'memory', 'tcp://10.21.250.46:34196', 47521939355392, [['compute', 1532977370.5914264, 1532977549.8557143]]]
['blobDetector_multi-fc18d25c-9385-4b26-b082-f286ec2783cc', 'processing', 'memory', 'tcp://10.21.250.46:45084', 47520126367488, [['compute', 1532977376.9156437, 1532977550.3275285]]]
['blobDetector_multi-a55100e2-a057-468e-be42-f3195f056984', 'processing', 'memory', 'tcp://10.21.250.41:43167', 47651928184576, [['compute', 1532977370.1687114, 1532977550.4554484]]]
['blobDetector_multi-e69c7dcb-599e-44d7-a0f4-f75b632bcd12', 'processing', 'memory', 'tcp://10.21.250.46:34644', 47519119734528, [['compute', 1532977375.147734, 1532977550.624637]]]
['blobDetector_multi-f38a5a14-5287-4c08-927e-3c413b57e152', 'processing', 'memory', 'tcp://10.21.250.46:40681', 47522340972288, [['compute', 1532977374.5079088, 1532977550.722303]]]
['blobDetector_multi-e84c048d-967f-4cbf-bf78-6054370ab571', 'processing', 'memory', 'tcp://10.21.250.46:35598', 47519723714304, [['compute', 1532977378.0242755, 1532977550.7934546]]]
['blobDetector_multi-98065485-b2a3-4d72-9a72-e343b47a3678', 'processing', 'memory', 'tcp://10.21.250.41:38309', 47648706950912, [['compute', 1532977374.2634974, 1532977550.9084265]]]
['blobDetector_multi-a4e892a8-ad50-447b-a280-f6b26318848d', 'processing', 'memory', 'tcp://10.21.250.41:42312', 47651726853888, [['compute', 1532977371.6335583, 1532977551.2971811]]]
['blobDetector_multi-9cb6dfaa-49e5-4492-ae4f-79fe3452889d', 'processing', 'memory', 'tcp://10.21.250.41:41117', 47652532430592, [['compute', 1532977370.3413281, 1532977551.9463413]]]
['blobDetector_multi-dc8dcb87-c8d1-446c-aee4-13454fc3fdaa', 'processing', 'memory', 'tcp://10.21.250.44:45310', 47983110420224, [['compute', 1532977375.6171403, 1532977552.1842463]]]
['blobDetector_multi-fcc6aa57-8b25-4844-acac-9dfe028b4a76', 'processing', 'memory', 'tcp://10.21.250.46:45614', 47519522387712, [['compute', 1532977382.453811, 1532977552.2498531]]]
['blobDetector_multi-f2b28f38-62b4-404d-899d-329e1f484155', 'processing', 'memory', 'tcp://10.21.250.46:39971', 47520730347264, [['compute', 1532977376.1923919, 1532977552.336858]]]
['blobDetector_multi-91bce897-52e1-4dde-a1fd-3dc0bf9f504c', 'processing', 'memory', 'tcp://10.21.250.41:36883', 47649713583872, [['compute', 1532977373.28941, 1532977552.5443952]]]
['blobDetector_multi-cb0e2ef4-ff72-4e8a-9755-7498f8d2d8bd', 'processing', 'memory', 'tcp://10.21.250.44:40648', 47985526339328, [['compute', 1532977378.236141, 1532977552.632871]]]
['blobDetector_multi-e6e6dd22-6959-438b-93dd-0a2edc10cf32', 'processing', 'memory', 'tcp://10.21.250.46:35124', 47522542286592, [['compute', 1532977382.2090495, 1532977552.6537864]]]
['blobDetector_multi-df7c3602-7465-4240-8be5-eb95187772c8', 'processing', 'memory', 'tcp://10.21.250.46:33842', 47522945214208, [['compute', 1532977379.361874, 1532977553.0925312]]]
['blobDetector_multi-f044a254-b4d7-4941-8845-874073e8c1e2', 'processing', 'memory', 'tcp://10.21.250.46:39256', 47519052863232, [['compute', 1532977379.035989, 1532977553.115797]]]
['blobDetector_multi-e86dbb20-1478-40fc-ab97-71821ed42756', 'processing', 'memory', 'tcp://10.21.250.46:36163', 47521535915776, [['compute', 1532977375.6629755, 1532977553.2117355]]]
['blobDetector_multi-f412ef85-b509-4c2f-b34b-ca2a7b50993b', 'processing', 'memory', 'tcp://10.21.250.46:41567', 47521736980224, [['compute', 1532977375.1799335, 1532977553.4075913]]]
['blobDetector_multi-cd6ed702-f961-4c3b-8812-229b77d55c70', 'processing', 'memory', 'tcp://10.21.250.44:41102', 47985325012736, [['compute', 1532977371.9345546, 1532977553.4347017]]]
