['blobDetector_multi-feb1c092-f1e4-4683-b2cc-24efabbe3539', 'processing', 'memory', 'tcp://10.21.253.35:39405', 47974252050176, [['compute', 1533138590.590335, 1533138772.271156]]]
['blobDetector_multi-de92181b-a60b-4c0f-b3fd-1ee3ca94e5ea', 'processing', 'memory', 'tcp://10.21.252.233:39486', 47190487631616, [['compute', 1533138590.5838423, 1533138772.3308434]]]
['blobDetector_multi-1198513d-893e-4208-8b2b-40c167fb06c7', 'processing', 'memory', 'tcp://10.21.252.240:36161', 47722124048128, [['compute', 1533138590.5026984, 1533138772.3385844]]]
['blobDetector_multi-db26bd13-5443-4be3-8ca5-6748316e8d2e', 'processing', 'memory', 'tcp://10.21.253.35:37557', 47973446743808, [['compute', 1533138590.5831861, 1533138772.353099]]]
['blobDetector_multi-a22feaf7-6d8a-4066-a572-51a6a26cbf37', 'processing', 'memory', 'tcp://10.21.253.35:44488', 47975057360640, [['compute', 1533138590.57686, 1533138772.5330799]]]
['blobDetector_multi-0a4867f6-ea1f-4fd4-b2c1-88e771ebd3ae', 'processing', 'memory', 'tcp://10.21.252.233:44215', 47187199530752, [['compute', 1533138590.5016277, 1533138772.5432496]]]
['blobDetector_multi-1e066c2c-ca7b-461c-8f11-7331a8dfda22', 'processing', 'memory', 'tcp://10.21.252.240:43691', 47721922721536, [['compute', 1533138590.5038104, 1533138772.5754385]]]
['blobDetector_multi-1be3aee4-6ef1-4721-ad83-161de3548460', 'processing', 'memory', 'tcp://10.21.252.240:40562', 47720111044352, [['compute', 1533138590.50351, 1533138772.5816312]]]
['blobDetector_multi-ed5e7344-8d06-4890-8984-0e88a68ad5a4', 'processing', 'memory', 'tcp://10.21.252.248:45763', 47038889756416, [['compute', 1533138590.586402, 1533138772.6715481]]]
['blobDetector_multi-83dd1cff-e5cb-4024-9f30-f0596ba75b46', 'processing', 'memory', 'tcp://10.21.252.233:36603', 47189682566912, [['compute', 1533138590.5718508, 1533138772.7706938]]]
['blobDetector_multi-bc30a8a4-3b3e-439b-84ec-6f6d5682e9e4', 'processing', 'memory', 'tcp://10.21.252.248:42301', 47039895615232, [['compute', 1533138590.5809064, 1533138772.8609276]]]
['blobDetector_multi-7819e1bb-2eaf-4d25-9580-c3c2dd25eed8', 'processing', 'memory', 'tcp://10.21.253.35:37463', 47972238784256, [['compute', 1533138590.5705245, 1533138772.9691105]]]
['blobDetector_multi-86f59ca2-4f0d-4284-a167-9e1a2069eea9', 'processing', 'memory', 'tcp://10.21.252.240:37859', 47718902822656, [['compute', 1533138590.5725982, 1533138773.146012]]]
['blobDetector_multi-73a3c24c-4cc6-476e-ad35-f26b9fefc726', 'processing', 'memory', 'tcp://10.21.253.35:35531', 47973849659136, [['compute', 1533138590.5698097, 1533138773.2017148]]]
['blobDetector_multi-bb012c7b-39f9-41fd-9713-7efee23be4e6', 'processing', 'memory', 'tcp://10.21.252.240:46349', 47719104149248, [['compute', 1533138590.580226, 1533138773.2657619]]]
['blobDetector_multi-1c6ad703-996e-46ce-91a3-2a857f2a1c06', 'processing', 'memory', 'tcp://10.21.252.240:41816', 47720714761984, [['compute', 1533138590.5036325, 1533138773.3094745]]]
['blobDetector_multi-25210d40-9e0f-421b-ac2f-8c34b66d94f9', 'processing', 'memory', 'tcp://10.21.252.248:33863', 47036472784640, [['compute', 1533138590.5595536, 1533138773.4042296]]]
['blobDetector_multi-2d007825-6863-40bc-8a5e-51aa474cb2ba', 'processing', 'memory', 'tcp://10.21.252.248:39960', 47038083397376, [['compute', 1533138590.560486, 1533138773.448743]]]
['blobDetector_multi-10f8534d-fe51-4163-8059-da8606369261', 'processing', 'memory', 'tcp://10.21.252.233:45678', 47187266402048, [['compute', 1533138590.5021393, 1533138773.4538321]]]
['blobDetector_multi-9c1f89b2-a24f-4ef4-a17b-5bf0f8576c68', 'processing', 'memory', 'tcp://10.21.252.254:39110', 47278668674816, [['compute', 1533138590.5779655, 1533138773.4739325]]]
['blobDetector_multi-854a7163-4dd9-433c-a8b7-af9e7700301c', 'processing', 'memory', 'tcp://10.21.252.233:42409', 47190084974336, [['compute', 1533138590.5724258, 1533138773.7645237]]]
['blobDetector_multi-76ce9cb8-248a-4da2-8ecf-67378296e840', 'processing', 'memory', 'tcp://10.21.253.35:35822', 47972641699584, [['compute', 1533138590.5699375, 1533138773.8590746]]]
['blobDetector_multi-2cfe7100-806c-4f97-a09d-43289fd5c7f9', 'processing', 'memory', 'tcp://10.21.252.248:39394', 47039694001920, [['compute', 1533138590.5602038, 1533138774.072301]]]
['blobDetector_multi-f2f07a43-7467-43c0-b759-a4db06dbe5b7', 'processing', 'memory', 'tcp://10.21.252.251:44158', 47198136174336, [['compute', 1533138590.5875764, 1533138774.3073366]]]
