['blobDetector_multi-3436a054-4da9-4c1d-87fe-59c05eb67c4f', 'processing', 'memory', 'tcp://10.21.255.58:46762', 47395505207040, [['compute', 1533014627.8388474, 1533014806.2170963]]]
['blobDetector_multi-babce12e-4905-4525-8f3c-f381928c5715', 'processing', 'memory', 'tcp://10.21.255.48:36566', 46968155985664, [['compute', 1533014627.8553145, 1533014806.2574835]]]
['blobDetector_multi-5d2ab844-89bf-4035-a9dd-d610fef27ee9', 'processing', 'memory', 'tcp://10.21.255.68:41004', 47746954327808, [['compute', 1533014627.8443215, 1533014806.2897425]]]
['blobDetector_multi-560fff8a-39f1-4d66-a233-694a8f30b677', 'processing', 'memory', 'tcp://10.21.255.68:34873', 47747356980992, [['compute', 1533014627.842976, 1533014806.401865]]]
['blobDetector_multi-0ada05f0-340f-4e3e-bdf6-c49c28c534d3', 'processing', 'memory', 'tcp://10.21.255.48:45582', 46967954634496, [['compute', 1533014627.8327465, 1533014806.4059587]]]
['blobDetector_multi-8e4d0764-068b-4eee-850c-144ad8ce7420', 'processing', 'memory', 'tcp://10.21.255.58:40832', 47397518472960, [['compute', 1533014627.8499649, 1533014806.438618]]]
['blobDetector_multi-f8e78e74-2d6b-4872-9a47-53e5893f19c9', 'processing', 'memory', 'tcp://10.21.255.68:43456', 47750779782912, [['compute', 1533014627.8630645, 1533014806.4566905]]]
['blobDetector_multi-18c3ca28-20c3-4002-93c0-48f6017e8f83', 'processing', 'memory', 'tcp://10.21.255.51:42573', 47987204060928, [['compute', 1533014627.834247, 1533014806.5085402]]]
['blobDetector_multi-af515713-a4fb-4f89-a0c2-8c3ebf92c4f3', 'processing', 'memory', 'tcp://10.21.255.48:43098', 46967350654720, [['compute', 1533014627.852832, 1533014806.510936]]]
['blobDetector_multi-cbf54c04-d6ee-42b1-b41d-264ba1b59786', 'processing', 'memory', 'tcp://10.21.255.58:37794', 47396511840000, [['compute', 1533014627.8574367, 1533014806.5888207]]]
['blobDetector_multi-0236efb3-fb70-4b80-91f2-6a6868a00710', 'processing', 'memory', 'tcp://10.21.255.48:34458', 46964934735616, [['compute', 1533014627.830902, 1533014806.6118562]]]
['blobDetector_multi-78379512-2526-4bff-a12e-b447fb47ad9b', 'processing', 'memory', 'tcp://10.21.255.48:44521', 46966545348352, [['compute', 1533014627.847694, 1533014806.707738]]]
['blobDetector_multi-6d286162-4639-4cc2-baeb-473b2f7b40ec', 'processing', 'memory', 'tcp://10.21.255.70:36269', 47402283202304, [['compute', 1533014627.8461723, 1533014806.7226593]]]
['blobDetector_multi-b7007522-114e-4d3c-b01d-a2e97affdf5b', 'processing', 'memory', 'tcp://10.21.255.68:34982', 47747759634176, [['compute', 1533014627.8545606, 1533014806.8576686]]]
['blobDetector_multi-9abfd586-a92a-4e1f-8379-0808177a3577', 'processing', 'memory', 'tcp://10.21.255.68:35830', 47746804299520, [['compute', 1533014627.8514166, 1533014806.8807325]]]
['blobDetector_multi-a5b5d75c-64d5-4cde-b92d-f01f48eada24', 'processing', 'memory', 'tcp://10.21.255.70:43297', 47400706127616, [['compute', 1533014627.8525114, 1533014806.9636703]]]
['blobDetector_multi-09ec5b70-ee14-4c1e-8719-9944d3c39b3a', 'processing', 'memory', 'tcp://10.21.255.48:44355', 46967551981312, [['compute', 1533014627.832501, 1533014806.970124]]]
