['blobDetector_multi-7028b49f-3af6-4331-be35-e86aa1c764fc', 'processing', 'memory', 'tcp://10.21.248.145:44855', 46916483184384, [['compute', 1533221010.1603723, 1533221197.005026]]]
['blobDetector_multi-dee85fa7-922f-4bb6-8f1a-587eb7737c50', 'processing', 'memory', 'tcp://10.21.248.129:38302', 47134317508352, [['compute', 1533221010.174274, 1533221197.0109978]]]
['blobDetector_multi-775ad3a7-aa08-49f0-9541-27a9b5c13e47', 'processing', 'memory', 'tcp://10.21.248.147:32779', 47275111917312, [['compute', 1533221010.1609294, 1533221197.1463454]]]
['blobDetector_multi-c9e31127-baae-4034-9a3e-86d387479e90', 'processing', 'memory', 'tcp://10.21.248.147:35754', 47275512436480, [['compute', 1533221010.170518, 1533221197.1467738]]]
['blobDetector_multi-7a3fe972-1ff2-44ff-aca7-6ba75e31b788', 'processing', 'memory', 'tcp://10.21.248.147:36573', 47271488026368, [['compute', 1533221010.1612155, 1533221197.1976826]]]
['blobDetector_multi-48cd81c8-6eba-41d3-93cb-10d1404dd6b0', 'processing', 'memory', 'tcp://10.21.248.142:39096', 47768561256192, [['compute', 1533221010.1556075, 1533221197.2119465]]]
['blobDetector_multi-24af568f-e203-4c9c-b000-77efcfb0d21f', 'processing', 'memory', 'tcp://10.21.248.131:44616', 47570390906624, [['compute', 1533221010.1504962, 1533221197.2185283]]]
['blobDetector_multi-f2ef5d0c-1612-40ed-abcc-3ee74f48d447', 'processing', 'memory', 'tcp://10.21.248.131:42621', 47573410817792, [['compute', 1533221010.177365, 1533221197.2228951]]]
['blobDetector_multi-9dccb965-4632-4b92-aa2f-3628b1e8b543', 'processing', 'memory', 'tcp://10.21.248.142:41184', 47765742683904, [['compute', 1533221010.1659198, 1533221197.247635]]]
['blobDetector_multi-3615f346-0fda-421b-bb9b-92462ff33e49', 'processing', 'memory', 'tcp://10.21.248.139:45512', 47720513443584, [['compute', 1533221010.1522474, 1533221197.3690114]]]
['blobDetector_multi-cc43f11c-3f03-442d-b73f-f9dd4c96cfdb', 'processing', 'memory', 'tcp://10.21.248.131:45174', 47573209478912, [['compute', 1533221010.171324, 1533221197.492844]]]
['blobDetector_multi-4ba2a988-02c9-4642-adac-4d2031d47a94', 'processing', 'memory', 'tcp://10.21.248.142:44182', 47768360191744, [['compute', 1533221010.1564326, 1533221197.5363927]]]
['blobDetector_multi-83c8746f-dfd6-475d-b27b-8c27e94f7a2d', 'processing', 'memory', 'tcp://10.21.248.147:42185', 47273501292288, [['compute', 1533221010.1623094, 1533221197.5922563]]]
['blobDetector_multi-4048e090-899f-4e36-b2af-43ad90571ba0', 'processing', 'memory', 'tcp://10.21.248.140:42861', 47928752240384, [['compute', 1533221010.1549413, 1533221197.6341882]]]
