['blobDetector_multi-6033cca9-f31a-49b3-adc9-5df2dc3e0f59', 'processing', 'memory', 'tcp://10.21.254.253:32991', 47791311423232, [['compute', 1532936121.4774466, 1532936326.3356874]]]
['blobDetector_multi-6398d8a4-a137-407a-8d36-8f2503facb80', 'processing', 'memory', 'tcp://10.21.254.253:36372', 47794333189888, [['compute', 1532936140.8263774, 1532936327.3239145]]]
['blobDetector_multi-699e5983-3e10-4d51-acad-6447d96cb088', 'processing', 'memory', 'tcp://10.21.254.253:37353', 47795138758400, [['compute', 1532936158.3697789, 1532936366.0329819]]]
['blobDetector_multi-a903c117-0d83-4024-b0ed-254aedb1029e', 'processing', 'memory', 'tcp://10.21.254.253:45863', 47791313286912, [['compute', 1532936284.349783, 1532936474.1442509]]]
['blobDetector_multi-82db93d7-4a0f-4614-95d6-311f76ea716a', 'processing', 'memory', 'tcp://10.21.254.253:33445', 47791917266688, [['compute', 1532936293.9683316, 1532936476.9435334]]]
['blobDetector_multi-89cbde50-1b05-47f2-8924-31710710990f', 'processing', 'memory', 'tcp://10.21.254.253:34907', 47793729468160, [['compute', 1532936299.984703, 1532936478.205084]]]
['blobDetector_multi-9d2db9fd-303e-4b53-8e7c-f0100d99546e', 'processing', 'memory', 'tcp://10.21.254.253:44902', 47792923899648, [['compute', 1532936294.3627565, 1532936478.6625655]]]
['blobDetector_multi-a60d489d-a554-4c8d-a4e1-7236a98d70fb', 'processing', 'memory', 'tcp://10.21.254.253:45250', 47792722573056, [['compute', 1532936299.4573796, 1532936482.2913225]]]
['blobDetector_multi-8a4f7641-0a12-42f0-b496-593c46696c65', 'processing', 'memory', 'tcp://10.21.254.253:36068', 47793326552832, [['compute', 1532936301.0157092, 1532936482.33799]]]
['blobDetector_multi-877c2c89-01cc-420e-b100-5cc813215855', 'processing', 'memory', 'tcp://10.21.254.253:34040', 47795339831040, [['compute', 1532936301.509541, 1532936482.645731]]]
['blobDetector_multi-8bac3474-4567-4f96-95da-9cbafd7e6be2', 'processing', 'memory', 'tcp://10.21.254.253:36853', 47791715940096, [['compute', 1532936309.3385706, 1532936486.7735906]]]
['blobDetector_multi-9c841845-24b9-4117-81b8-1956435215e2', 'processing', 'memory', 'tcp://10.21.254.253:43918', 47793527879424, [['compute', 1532936299.5668519, 1532936488.145578]]]
['blobDetector_multi-aaaf7a1d-89b3-4cd2-b9ee-63b80e6422ce', 'processing', 'memory', 'tcp://10.21.254.253:46365', 47791137134336, [['compute', 1532936305.130635, 1532936488.256595]]]
['blobDetector_multi-98eb377c-0bd1-4867-8465-68185e0405c5', 'processing', 'memory', 'tcp://10.21.254.253:41137', 47794131863296, [['compute', 1532936313.742274, 1532936489.6282132]]]
['blobDetector_multi-979f8c19-1e96-419a-b2fd-cf2f0b383ea7', 'processing', 'memory', 'tcp://10.21.254.253:37862', 47794735847168, [['compute', 1532936299.7892416, 1532936491.0114636]]]
['blobDetector_multi-a34e6626-4bb8-485b-ba2e-e33235348ca7', 'processing', 'memory', 'tcp://10.21.254.253:45168', 47793125226240, [['compute', 1532936305.611797, 1532936497.006307]]]
['blobDetector_multi-99982be3-68c4-4343-9ce6-40b17415b4e8', 'processing', 'memory', 'tcp://10.21.254.253:42741', 47794534508288, [['compute', 1532936302.651307, 1532936498.9188921]]]
['blobDetector_multi-9a4ffdfb-395e-4b30-bf3e-02a1527342d8', 'processing', 'memory', 'tcp://10.21.254.253:43253', 47792118593280, [['compute', 1532936321.6046782, 1532936499.7602432]]]
['blobDetector_multi-94cd8615-cc4a-4a1b-be30-44fbf0722072', 'processing', 'memory', 'tcp://10.21.254.253:37784', 47794937161472, [['compute', 1532936317.0407112, 1532936501.240747]]]
['blobDetector_multi-8941fe89-c964-43d0-a69d-ee176935237d', 'processing', 'memory', 'tcp://10.21.254.253:34805', 47792521508608, [['compute', 1532936295.9984856, 1532936502.0298746]]]
['blobDetector_multi-837cf01e-7752-4654-950c-1e587d2d1d07', 'processing', 'memory', 'tcp://10.21.254.253:33843', 47791135033088, [['compute', 1532936317.8794472, 1532936502.0397992]]]
['blobDetector_multi-98d05387-3c6a-4a6f-a9c0-72e1bdfe53b1', 'processing', 'memory', 'tcp://10.21.254.253:38629', 47791514613504, [['compute', 1532936323.6066208, 1532936505.451298]]]
['blobDetector_multi-8b0c4a73-fc82-4ac7-8156-6bb9a06f15ec', 'processing', 'memory', 'tcp://10.21.254.253:36372', 47794333189888, [['compute', 1532936327.327781, 1532936510.917494]]]
['blobDetector_multi-81f2d038-bcf1-49c0-b26e-43e1ae218683', 'processing', 'memory', 'tcp://10.21.254.253:32991', 47791311423232, [['compute', 1532936326.3399413, 1532936511.9164164]]]
['blobDetector_multi-9394b4cd-7bd4-4e5a-9b6d-8952f30fa37e', 'processing', 'memory', 'tcp://10.21.254.253:37623', 47793930532608, [['compute', 1532936306.509436, 1532936513.1251128]]]
['blobDetector_multi-9acb9073-0650-44fb-a888-101ee7a1e107', 'processing', 'memory', 'tcp://10.21.254.253:43659', 47792319919872, [['compute', 1532936325.952098, 1532936517.004198]]]
['blobDetector_multi-8fed7b90-116d-4dd3-ad9d-f84e8aea9327', 'processing', 'memory', 'tcp://10.21.254.253:37353', 47795138758400, [['compute', 1532936366.0363607, 1532936552.3191745]]]
['blobDetector_multi-c5d62baa-92d6-4675-bfd5-6252e56c553f', 'processing', 'memory', 'tcp://10.21.254.253:45863', 47791313286912, [['compute', 1532936474.1452234, 1532936655.0014405]]]
['blobDetector_multi-b1eaa50a-7edb-4b31-8623-b41784790185', 'processing', 'memory', 'tcp://10.21.254.253:34040', 47795339831040, [['compute', 1532936482.6485558, 1532936666.6121817]]]
['blobDetector_multi-c3b43cc0-4ce2-474e-9162-bf21bf3774b2', 'processing', 'memory', 'tcp://10.21.254.253:44902', 47792923899648, [['compute', 1532936478.6642826, 1532936669.1277225]]]
['blobDetector_multi-c58f685e-f057-4f85-93f0-36f0630de352', 'processing', 'memory', 'tcp://10.21.254.253:45250', 47792722573056, [['compute', 1532936482.2908993, 1532936672.2380183]]]
['blobDetector_multi-c47c1157-2c27-4531-bc35-f03fdcf1c512', 'processing', 'memory', 'tcp://10.21.254.253:45168', 47793125226240, [['compute', 1532936497.0140288, 1532936675.7116208]]]
['blobDetector_multi-c190ac50-0961-4bc6-a529-776f2eab240d', 'processing', 'memory', 'tcp://10.21.254.253:41137', 47794131863296, [['compute', 1532936489.6423576, 1532936677.4041514]]]
['blobDetector_multi-c2cf3371-67ad-4529-ae85-d4a2c3b90f64', 'processing', 'memory', 'tcp://10.21.254.253:43918', 47793527879424, [['compute', 1532936488.146777, 1532936678.792739]]]
['blobDetector_multi-b643a05e-41ae-4146-893d-ca67ea1a31df', 'processing', 'memory', 'tcp://10.21.254.253:36853', 47791715940096, [['compute', 1532936486.7746341, 1532936682.6925552]]]
['blobDetector_multi-b45b655e-d6f7-48a4-abc9-c2ba447493a2', 'processing', 'memory', 'tcp://10.21.254.253:34907', 47793729468160, [['compute', 1532936478.2060041, 1532936683.6358411]]]
['blobDetector_multi-bf87cc79-8cd2-4d22-80ed-8b108d150743', 'processing', 'memory', 'tcp://10.21.254.253:37862', 47794735847168, [['compute', 1532936491.0125575, 1532936683.8042154]]]
['blobDetector_multi-c612e5a3-2802-4c45-b8d0-44e622dedd8a', 'processing', 'memory', 'tcp://10.21.254.253:46365', 47791137134336, [['compute', 1532936488.285858, 1532936684.258545]]]
['blobDetector_multi-bea346ec-949c-4987-be50-1901b5dbc55c', 'processing', 'memory', 'tcp://10.21.254.253:37784', 47794937161472, [['compute', 1532936501.2426844, 1532936684.5264525]]]
['blobDetector_multi-b130efd0-048d-4d98-9145-f57809650674', 'processing', 'memory', 'tcp://10.21.254.253:33843', 47791135033088, [['compute', 1532936502.03992, 1532936685.558294]]]
['blobDetector_multi-c238cdf8-a866-4e99-a593-a4f179050c36', 'processing', 'memory', 'tcp://10.21.254.253:42741', 47794534508288, [['compute', 1532936498.920061, 1532936685.6254811]]]
['blobDetector_multi-b4d57c5e-f086-4129-aeaf-99a672cbee12', 'processing', 'memory', 'tcp://10.21.254.253:36068', 47793326552832, [['compute', 1532936482.3390129, 1532936686.341018]]]
['blobDetector_multi-b2f7ec2a-1bc8-44d0-ab2b-f0384f600c49', 'processing', 'memory', 'tcp://10.21.254.253:34805', 47792521508608, [['compute', 1532936502.033114, 1532936690.2750518]]]
['blobDetector_multi-ae03681b-cf89-439c-8539-614d3e434feb', 'processing', 'memory', 'tcp://10.21.254.253:33445', 47791917266688, [['compute', 1532936476.946009, 1532936691.18552]]]
['blobDetector_multi-b612dd3d-df11-426f-b81d-ee08c1860015', 'processing', 'memory', 'tcp://10.21.254.253:36372', 47794333189888, [['compute', 1532936510.918722, 1532936691.715859]]]
['blobDetector_multi-bc98ca82-81c1-4dea-8858-a6aab2128b86', 'processing', 'memory', 'tcp://10.21.254.253:37623', 47793930532608, [['compute', 1532936513.1372786, 1532936695.0386455]]]
['blobDetector_multi-c0b66c3a-2c12-404e-b1ac-a397685b1e5b', 'processing', 'memory', 'tcp://10.21.254.253:38629', 47791514613504, [['compute', 1532936505.4530096, 1532936698.1085346]]]
['blobDetector_multi-ac3fe1d1-299b-483e-911f-ad9c4f8a7dc0', 'processing', 'memory', 'tcp://10.21.254.253:32991', 47791311423232, [['compute', 1532936511.917567, 1532936701.763262]]]
['blobDetector_multi-c259906a-2e59-4943-a8ea-f6b0d6f79111', 'processing', 'memory', 'tcp://10.21.254.253:43253', 47792118593280, [['compute', 1532936499.762069, 1532936713.553925]]]
