['blobDetector_multi-b76c95fe-4145-4a12-9575-080a63e580ff', 'processing', 'memory', 'tcp://10.21.255.75:41062', 47850769876736, [['compute', 1532856229.1085396, 1532856409.8057756]]]
['blobDetector_multi-45019c65-c068-46b8-bfb9-2ef06b1f638f', 'processing', 'memory', 'tcp://10.21.255.72:41748', 47435964348160, [['compute', 1532856229.0882719, 1532856409.883329]]]
['blobDetector_multi-3204dd74-ed44-427c-9b88-464174bba05f', 'processing', 'memory', 'tcp://10.21.255.68:43104', 47187400894208, [['compute', 1532856229.0867121, 1532856409.924969]]]
['blobDetector_multi-070c64b6-5deb-459e-9330-1e71bf7c5e48', 'processing', 'memory', 'tcp://10.21.255.47:37187', 47492276188928, [['compute', 1532856229.08172, 1532856409.9438891]]]
['blobDetector_multi-d5a5241f-8e25-4131-a4f1-6e009ceec4f1', 'processing', 'memory', 'tcp://10.21.255.72:44540', 47437112702720, [['compute', 1532856229.1124384, 1532856410.0362346]]]
['blobDetector_multi-c04c29fe-cd19-4e8e-a186-2a71ffab92d0', 'processing', 'memory', 'tcp://10.21.255.98:41877', 47154450167552, [['compute', 1532856229.1084251, 1532856410.101557]]]
['blobDetector_multi-e2f01ce6-03b0-4441-98f8-a5d69b061e42', 'processing', 'memory', 'tcp://10.21.255.83:40226', 47074590619392, [['compute', 1532856229.113384, 1532856410.139773]]]
['blobDetector_multi-07317361-af31-4fb3-a68f-506586ee3474', 'processing', 'memory', 'tcp://10.21.255.47:38123', 47495296087808, [['compute', 1532856229.0815609, 1532856410.210949]]]
['blobDetector_multi-6ff6742a-576d-42e9-8205-0f21e884acb9', 'processing', 'memory', 'tcp://10.21.255.83:37628', 47073583986432, [['compute', 1532856229.0965292, 1532856410.2241523]]]
['blobDetector_multi-fbd5ae31-79e0-40df-9161-b0886a905977', 'processing', 'memory', 'tcp://10.21.255.98:40829', 47154651494144, [['compute', 1532856229.11669, 1532856410.4188528]]]
['blobDetector_multi-f46ae091-1dee-4952-8436-0fb9634d3e35', 'processing', 'memory', 'tcp://10.21.255.83:37935', 47076402550528, [['compute', 1532856229.11605, 1532856410.4244041]]]
['blobDetector_multi-3409e0b1-6850-4ce7-ae79-aa5d1747a71c', 'processing', 'memory', 'tcp://10.21.255.68:44394', 47185991595776, [['compute', 1532856229.0869253, 1532856410.4909873]]]
['blobDetector_multi-2a877ea4-7ea2-481f-99d1-20990b181931', 'processing', 'memory', 'tcp://10.21.255.68:38025', 47183776741120, [['compute', 1532856229.085297, 1532856410.542404]]]
['blobDetector_multi-e3926741-fc68-4071-95ae-bf7af172ce2a', 'processing', 'memory', 'tcp://10.21.255.50:44264', 47208405694208, [['compute', 1532856229.1137881, 1532856410.602941]]]
['blobDetector_multi-443c62db-4bb3-416a-988a-1fae8bd261db', 'processing', 'memory', 'tcp://10.21.255.72:39763', 47436911376128, [['compute', 1532856229.0879529, 1532856410.641963]]]
['blobDetector_multi-eb25b717-f26c-4676-be3e-6bf214126312', 'processing', 'memory', 'tcp://10.21.255.68:46665', 47185387353856, [['compute', 1532856229.1149964, 1532856410.9838865]]]
['blobDetector_multi-8572fcf9-df76-4998-988d-d6eb077f0019', 'processing', 'memory', 'tcp://10.21.255.47:33450', 47491873535744, [['compute', 1532856229.100478, 1532856411.0518389]]]
['blobDetector_multi-842220d1-239c-4f4e-92f1-ae8f39478798', 'processing', 'memory', 'tcp://10.21.255.98:43797', 47154852820736, [['compute', 1532856229.0997667, 1532856411.1288257]]]
['blobDetector_multi-0aa5a8b6-5024-4299-ae34-a83ee751d5ee', 'processing', 'memory', 'tcp://10.21.255.47:39897', 47495497676544, [['compute', 1532856229.0817423, 1532856411.2359703]]]
['blobDetector_multi-f57f014c-f04e-4972-87d6-e00baeeb04a4', 'processing', 'memory', 'tcp://10.21.255.98:34420', 47157671655168, [['compute', 1532856229.1165307, 1532856411.2609446]]]
['blobDetector_multi-78329af9-a263-438f-b854-e09b3bac58f9', 'processing', 'memory', 'tcp://10.21.255.98:33396', 47155859453696, [['compute', 1532856229.0978458, 1532856411.5336149]]]
['blobDetector_multi-d19a3afa-fde4-42d1-b1d8-6be9f158815b', 'processing', 'memory', 'tcp://10.21.255.75:40129', 47852382353152, [['compute', 1532856229.1113484, 1532856411.7482944]]]
['blobDetector_multi-44b4a10e-7741-4591-b47f-f897819c54b8', 'processing', 'memory', 'tcp://10.21.255.72:40419', 47439327295232, [['compute', 1532856229.0883, 1532856411.90371]]]
['blobDetector_multi-344d4520-719a-4ee4-8956-10af55e4661c', 'processing', 'memory', 'tcp://10.21.255.68:46374', 47184582047488, [['compute', 1532856229.0870845, 1532856411.9051456]]]
['blobDetector_multi-7faab117-b318-4fc9-a79f-dcd802564b28', 'processing', 'memory', 'tcp://10.21.255.98:41127', 47155054409472, [['compute', 1532856229.0988917, 1532856411.9301856]]]
['blobDetector_multi-ce1841b3-1d45-4570-9611-e9f472b86af8', 'processing', 'memory', 'tcp://10.21.255.98:42617', 47153682663168, [['compute', 1532856229.110298, 1532856412.0393028]]]
['blobDetector_multi-92d30766-a014-4047-8818-457103a8a16f', 'processing', 'memory', 'tcp://10.21.255.75:33157', 47852583679744, [['compute', 1532856229.1032872, 1532856412.0400512]]]
['blobDetector_multi-30003065-e570-45df-8139-211d83f4d90e', 'processing', 'memory', 'tcp://10.21.255.68:41017', 47187199301376, [['compute', 1532856229.086386, 1532856412.177199]]]
['blobDetector_multi-543e6b69-47e6-4b64-8093-703e2af28b82', 'processing', 'memory', 'tcp://10.21.255.75:39911', 47852785006336, [['compute', 1532856229.0901346, 1532856412.2309537]]]
['blobDetector_multi-d1ab2fb9-12a6-4076-8ca0-594ca848d61f', 'processing', 'memory', 'tcp://10.21.255.76:42214', 47545157973760, [['compute', 1532856229.1114783, 1532856412.2853515]]]
['blobDetector_multi-8e3b9db7-32a2-455f-b87f-38c1bd72d318', 'processing', 'memory', 'tcp://10.21.255.68:40731', 47184179394304, [['compute', 1532856229.1016166, 1532856412.3554485]]]
['blobDetector_multi-85e7f01d-6d34-4f2d-a9e7-6647d34660d3', 'processing', 'memory', 'tcp://10.21.255.47:38627', 47491513136896, [['compute', 1532856229.1002486, 1532856412.3880875]]]
['blobDetector_multi-dfec7d36-3ecb-4aa7-a429-7d1dc9c360c8', 'processing', 'memory', 'tcp://10.21.255.47:37799', 47493282821888, [['compute', 1532856229.1131365, 1532856412.4311876]]]
['blobDetector_multi-af39de8f-38c4-4826-8522-64e25c7a3590', 'processing', 'memory', 'tcp://10.21.255.50:43109', 47204981278464, [['compute', 1532856229.1062937, 1532856412.5427449]]]
['blobDetector_multi-7e338fce-bc20-46f4-b404-2d6470a6c7f2', 'processing', 'memory', 'tcp://10.21.255.98:39677', 47156664755968, [['compute', 1532856229.098653, 1532856412.5454853]]]
['blobDetector_multi-7aa53986-7e33-475f-9405-a3817709d7e1', 'processing', 'memory', 'tcp://10.21.255.98:34437', 47155456800512, [['compute', 1532856229.0983694, 1532856412.5483572]]]
['blobDetector_multi-3471d5a9-7184-4f17-bdae-eca610704c0b', 'processing', 'memory', 'tcp://10.21.255.72:33410', 47439931541248, [['compute', 1532856229.087201, 1532856412.552414]]]
['blobDetector_multi-a085ebf3-110e-4cde-bb5b-c01971516214', 'processing', 'memory', 'tcp://10.21.255.83:32880', 47075597514496, [['compute', 1532856229.104319, 1532856412.568171]]]
['blobDetector_multi-86a41b37-1954-4b3a-92b9-19e1ddcc23a1', 'processing', 'memory', 'tcp://10.21.255.50:35287', 47207600387840, [['compute', 1532856229.100584, 1532856412.621463]]]
['blobDetector_multi-e94275d2-a682-44cc-b181-544691baf774', 'processing', 'memory', 'tcp://10.21.255.68:39738', 47183978067712, [['compute', 1532856229.1144583, 1532856412.6530004]]]
['blobDetector_multi-798b11f9-7d2f-4fdf-904c-74527afbad5a', 'processing', 'memory', 'tcp://10.21.255.98:33740', 47156866111232, [['compute', 1532856229.0980844, 1532856412.6760886]]]
['blobDetector_multi-54490193-9463-4324-a5ff-025a5c9390d0', 'processing', 'memory', 'tcp://10.21.255.75:40553', 47853187925760, [['compute', 1532856229.0901299, 1532856412.715864]]]
['blobDetector_multi-a4cd569c-31a1-4dfc-8e57-4eab570fac4f', 'processing', 'memory', 'tcp://10.21.255.98:33425', 47157470066432, [['compute', 1532856229.1052144, 1532856412.7526724]]]
['blobDetector_multi-e65e3382-a4a1-4e30-b9d7-d586e5444a70', 'processing', 'memory', 'tcp://10.21.255.47:44923', 47494490781440, [['compute', 1532856229.1139178, 1532856412.950327]]]
