2017-07-28 15:00:50.558594  svmem(total=134778585088, available=127089184768, percent=5.7, used=7383040000, free=126538817536, active=2707177472, inactive=312602624, buffers=0, cached=856727552, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:50.759151  svmem(total=134778585088, available=127080247296, percent=5.7, used=7392960512, free=126528311296, active=2719039488, inactive=312549376, buffers=0, cached=857313280, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:50.959789  svmem(total=134778585088, available=127072337920, percent=5.7, used=7400869888, free=126520401920, active=2724118528, inactive=312549376, buffers=0, cached=857313280, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:51.160356  svmem(total=134778585088, available=127065276416, percent=5.7, used=7407931392, free=126513340416, active=2727047168, inactive=312549376, buffers=0, cached=857313280, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:51.360933  svmem(total=134778585088, available=127066927104, percent=5.7, used=7405543424, free=126513504256, active=2731466752, inactive=312549376, buffers=0, cached=859537408, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:51.561511  svmem(total=134778585088, available=127059476480, percent=5.7, used=7412994048, free=126506053632, active=2735661056, inactive=312549376, buffers=0, cached=859537408, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:51.762072  svmem(total=134778585088, available=127056596992, percent=5.7, used=7416496128, free=126501195776, active=2742333440, inactive=312586240, buffers=0, cached=860893184, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:51.962594  svmem(total=134778585088, available=127050178560, percent=5.7, used=7422914560, free=126494777344, active=2746527744, inactive=312586240, buffers=0, cached=860893184, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:52.163154  svmem(total=134778585088, available=127040774144, percent=5.7, used=7432318976, free=126485372928, active=2748624896, inactive=312586240, buffers=0, cached=860893184, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:52.363926  svmem(total=134778585088, available=127035506688, percent=5.7, used=7437094912, free=126479114240, active=2757001216, inactive=312586240, buffers=0, cached=862375936, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
