,Duration,Framework,Nodes,Optimization
554,30737400.0,MPIC++,2,2
555,30703400.0,MPIC++,2,2
556,30783300.0,MPIC++,2,2
557,30742000.0,MPIC++,2,2
558,30699500.0,MPIC++,2,2
559,30717800.0,MPIC++,2,2
560,30716500.0,MPIC++,2,2
561,30703300.0,MPIC++,2,2
562,30702700.0,MPIC++,2,2
563,30725800.0,MPIC++,2,2
564,30739400.0,MPIC++,2,2
565,33953600.0,MPIC++,2,2
566,30765900.0,MPIC++,2,2
567,30723600.0,MPIC++,2,2
568,30711000.0,MPIC++,2,2
569,30728200.0,MPIC++,2,2
570,30701900.0,MPIC++,2,2
571,30683600.0,MPIC++,2,2
572,30686600.0,MPIC++,2,2
573,30719100.0,MPIC++,2,2
574,30716900.0,MPIC++,2,2
575,30700600.0,MPIC++,2,2
576,30725400.0,MPIC++,2,2
577,30717700.0,MPIC++,2,2
578,30786600.0,MPIC++,2,2
579,30719600.0,MPIC++,2,2
580,30711500.0,MPIC++,2,2
581,30741400.0,MPIC++,2,2
582,30742400.0,MPIC++,2,2
583,30726400.0,MPIC++,2,2
584,30738100.0,MPIC++,2,2
585,30751300.0,MPIC++,2,2
586,30708600.0,MPIC++,2,2
587,30726300.0,MPIC++,2,2
588,30786100.0,MPIC++,2,2
589,30721000.0,MPIC++,2,2
590,30730000.0,MPIC++,2,2
591,30708600.0,MPIC++,2,2
592,30713200.0,MPIC++,2,2
593,30722000.0,MPIC++,2,2
594,30714500.0,MPIC++,2,2
595,33938700.0,MPIC++,2,2
596,30698900.0,MPIC++,2,2
597,30705100.0,MPIC++,2,2
598,30780000.0,MPIC++,2,2
599,30732500.0,MPIC++,2,2
600,30773100.0,MPIC++,2,2
601,30702500.0,MPIC++,2,2
602,30700800.0,MPIC++,2,2
603,30700700.0,MPIC++,2,2
604,30704000.0,MPIC++,2,2
605,30769700.0,MPIC++,2,2
606,30700300.0,MPIC++,2,2
607,30701700.0,MPIC++,2,2
608,33925000.0,MPIC++,2,2
609,30709400.0,MPIC++,2,2
610,30693800.0,MPIC++,2,2
611,30709500.0,MPIC++,2,2
612,30722100.0,MPIC++,2,2
613,30691400.0,MPIC++,2,2
614,30709000.0,MPIC++,2,2
615,30724800.0,MPIC++,2,2
616,34003700.0,MPIC++,2,2
617,30676800.0,MPIC++,2,2
618,30709300.0,MPIC++,2,2
619,30697100.0,MPIC++,2,2
620,30713200.0,MPIC++,2,2
621,30704700.0,MPIC++,2,2
622,30716400.0,MPIC++,2,2
623,30710100.0,MPIC++,2,2
624,30725800.0,MPIC++,2,2
625,30802800.0,MPIC++,2,2
626,30713500.0,MPIC++,2,2
627,33962100.0,MPIC++,2,2
628,30784500.0,MPIC++,2,2
629,30720200.0,MPIC++,2,2
630,30718900.0,MPIC++,2,2
631,30688700.0,MPIC++,2,2
632,30717800.0,MPIC++,2,2
633,30714000.0,MPIC++,2,2
634,30740600.0,MPIC++,2,2
635,30720800.0,MPIC++,2,2
636,30748900.0,MPIC++,2,2
637,30725200.0,MPIC++,2,2
638,30722900.0,MPIC++,2,2
639,30718600.0,MPIC++,2,2
640,30701300.0,MPIC++,2,2
641,33922700.0,MPIC++,2,2
642,30681300.0,MPIC++,2,2
643,30711000.0,MPIC++,2,2
644,30704900.0,MPIC++,2,2
645,30723700.0,MPIC++,2,2
646,30718900.0,MPIC++,2,2
647,30729900.0,MPIC++,2,2
648,30733100.0,MPIC++,2,2
649,30717200.0,MPIC++,2,2
650,30709400.0,MPIC++,2,2
651,30715700.0,MPIC++,2,2
652,30721900.0,MPIC++,2,2
653,30696500.0,MPIC++,2,2
654,30701800.0,MPIC++,2,2
655,30703300.0,MPIC++,2,2
656,30772600.0,MPIC++,2,2
657,30714900.0,MPIC++,2,2
658,30701400.0,MPIC++,2,2
659,30711600.0,MPIC++,2,2
660,30727200.0,MPIC++,2,2
661,30747300.0,MPIC++,2,2
662,30720400.0,MPIC++,2,2
663,30706800.0,MPIC++,2,2
664,30709100.0,MPIC++,2,2
665,30787500.0,MPIC++,2,2
666,30732900.0,MPIC++,2,2
667,30696700.0,MPIC++,2,2
668,30715100.0,MPIC++,2,2
669,30720000.0,MPIC++,2,2
670,30712700.0,MPIC++,2,2
671,30714900.0,MPIC++,2,2
672,30764100.0,MPIC++,2,2
673,30745300.0,MPIC++,2,2
674,30838300.0,MPIC++,2,2
675,30728900.0,MPIC++,2,2
676,30707400.0,MPIC++,2,2
677,30712800.0,MPIC++,2,2
678,30735300.0,MPIC++,2,2
679,30705700.0,MPIC++,2,2
680,30715500.0,MPIC++,2,2
681,30707400.0,MPIC++,2,2
682,30714400.0,MPIC++,2,2
683,30768500.0,MPIC++,2,2
684,30732200.0,MPIC++,2,2
685,30724600.0,MPIC++,2,2
686,30726800.0,MPIC++,2,2
687,30720800.0,MPIC++,2,2
688,30709700.0,MPIC++,2,2
689,33918800.0,MPIC++,2,2
690,30716200.0,MPIC++,2,2
691,30707900.0,MPIC++,2,2
692,30710200.0,MPIC++,2,2
693,30710100.0,MPIC++,2,2
694,30710000.0,MPIC++,2,2
695,30737900.0,MPIC++,2,2
696,30775000.0,MPIC++,2,2
697,30707400.0,MPIC++,2,2
698,30789000.0,MPIC++,2,2
699,30709000.0,MPIC++,2,2
700,30699200.0,MPIC++,2,2
701,30766500.0,MPIC++,2,2
702,30693600.0,MPIC++,2,2
703,30705200.0,MPIC++,2,2
704,30714800.0,MPIC++,2,2
705,30701900.0,MPIC++,2,2
706,30720500.0,MPIC++,2,2
707,30712900.0,MPIC++,2,2
708,30724600.0,MPIC++,2,2
709,30715100.0,MPIC++,2,2
710,30719200.0,MPIC++,2,2
711,30709100.0,MPIC++,2,2
712,30722200.0,MPIC++,2,2
