CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write

unit.000160,Mapper-0-161,N/A,0.839,N/A,1.656,14.673,14.674,0.029453,2.456137,0.003154

unit.000161,Mapper-0-162,N/A,0.841,N/A,1.684,14.676,14.678,0.139054,2.671234,0.003514

unit.000162,Mapper-0-163,N/A,0.817,N/A,1.484,15.751,15.752,0.041442,2.142889,0.003636

unit.000163,Mapper-0-164,N/A,0.847,N/A,1.742,14.68,14.682,0.017216,2.498812,0.003162

unit.000164,Mapper-0-165,N/A,0.765,N/A,0.939,12.445,12.446,0.020394,1.976835,0.004327

unit.000165,Mapper-0-166,N/A,0.784,N/A,1.135,12.454,12.456,0.013926,1.942383,0.003424

unit.000166,Mapper-0-167,N/A,0.882,N/A,2.419,13.627,13.629,0.026349,1.932064,0.003462

unit.000167,Mapper-0-168,N/A,0.867,N/A,2.117,13.608,13.61,0.021107,1.997907,0.003309

unit.000168,Mapper-0-169,N/A,0.773,N/A,1.018,12.449,12.45,0.020329,1.981644,0.003447

unit.000169,Mapper-0-170,N/A,0.761,N/A,0.901,14.65,14.653,0.041109,1.954402,0.003625

unit.000170,Mapper-0-171,N/A,0.875,N/A,2.304,14.694,14.696,0.021122,1.948896,0.004694

unit.000171,Mapper-0-172,N/A,0.769,N/A,0.978,14.655,14.657,0.020387,2.127624,0.003713

unit.000172,Mapper-0-173,N/A,0.904,N/A,2.738,14.717,14.72,0.02657,1.989367,0.003687

unit.000173,Mapper-0-174,N/A,0.918,N/A,2.941,14.735,14.737,0.025639,1.928427,0.003535

unit.000174,Mapper-0-175,N/A,0.778,N/A,1.076,14.658,14.66,0.0143,1.983197,0.003855

unit.000175,Mapper-0-176,N/A,0.772,N/A,0.998,12.445,12.447,0.018838,2.006704,0.003644

unit.000176,Mapper-0-177,N/A,0.89,N/A,2.567,13.636,13.637,0.050253,2.324316,0.003593

unit.000177,Mapper-0-178,N/A,0.809,N/A,1.429,14.667,14.668,0.038238,1.905289,0.0053

unit.000178,Mapper-0-179,N/A,0.869,N/A,2.136,14.688,14.692,0.021108,2.000676,0.003285

unit.000179,Mapper-0-180,N/A,0.746,N/A,0.775,13.556,13.564,0.040495,1.961017,0.013148

unit.000180,Mapper-0-181,N/A,0.846,N/A,1.732,13.599,13.6,0.017351,2.579739,0.003313

unit.000181,Mapper-0-182,N/A,0.919,N/A,2.951,15.768,15.77,0.023563,1.949068,0.003397

unit.000182,Mapper-0-183,N/A,0.833,N/A,1.609,14.67,14.671,0.017481,2.596003,0.00336

unit.000183,Mapper-0-184,N/A,0.908,N/A,2.801,14.724,14.726,0.025241,1.92186,0.003506

unit.000184,Mapper-0-185,N/A,0.924,N/A,3.051,15.782,15.783,0.067955,2.025529,0.003574

unit.000185,Mapper-0-186,N/A,0.76,N/A,0.891,12.442,12.444,0.041309,1.932056,0.003656

unit.000186,Mapper-0-187,N/A,0.777,N/A,1.067,12.451,12.453,0.020214,1.98327,0.003564

unit.000187,Mapper-0-188,N/A,0.796,N/A,1.289,12.462,12.464,0.025857,1.964631,0.00348

unit.000188,Mapper-0-189,N/A,0.819,N/A,1.503,12.498,12.5,0.01858,2.135981,0.00351

unit.000189,Mapper-0-190,N/A,0.84,N/A,1.665,15.751,15.753,0.006737,2.485947,0.003172

unit.000190,Mapper-0-191,N/A,0.779,N/A,1.086,13.573,13.576,0.007458,2.606785,0.003567

unit.000191,Mapper-0-192,N/A,0.872,N/A,2.213,14.693,14.695,0.006561,2.528133,0.003674

unit.000192,Reducer-0,N/A,21.11,N/A,21.408,24.821,26.174,1.356823,0.013073,0.0041

unit.000193,Mapper-1-1,N/A,96.759,N/A,96.774,102.068,102.07,0.005451,1.888669,0.004234

unit.000194,Mapper-1-2,N/A,73.303,N/A,73.33,78.706,78.708,0.005772,1.964119,0.005035

unit.000195,Mapper-1-3,N/A,94.746,N/A,94.763,98.934,98.936,0.006354,1.940698,0.003336

unit.000196,Mapper-1-4,N/A,93.98,N/A,93.995,98.931,98.934,0.006985,1.983104,0.003555

unit.000197,Mapper-1-5,N/A,92.595,N/A,92.621,96.886,96.888,0.01236,1.943945,0.007042

unit.000198,Mapper-1-6,N/A,91.975,N/A,91.991,96.881,96.883,0.005888,1.938307,0.003848

unit.000199,Mapper-1-7,N/A,95.366,N/A,95.38,98.937,98.938,0.006785,1.969677,0.003483

unit.000200,Mapper-1-8,N/A,88.732,N/A,88.748,93.83,93.844,0.005784,1.942187,0.003789

unit.000201,Mapper-1-9,N/A,89.352,N/A,89.375,93.846,93.853,0.006723,1.876538,0.010236

unit.000202,Mapper-1-10,N/A,98.916,N/A,98.931,104.084,104.086,0.005813,1.913511,0.003524

unit.000203,Mapper-1-11,N/A,88.111,N/A,88.127,93.826,93.828,0.005657,1.889007,0.004116

unit.000204,Mapper-1-12,N/A,81.328,N/A,81.351,86.77,86.772,0.008684,1.92116,0.007072

unit.000205,Mapper-1-13,N/A,87.343,N/A,87.358,91.817,91.821,0.005338,1.919227,0.003842

unit.000206,Mapper-1-14,N/A,45.521,N/A,45.545,51.394,51.396,0.006812,1.878603,0.003712

