CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000195,Euclidean_dist_12664_48844,N/A,87.0679891109,N/A,87.4975931644,116.564914227,116.599318027
unit.000196,Euclidean_dist_14473_14473,N/A,89.1001820564,N/A,89.4837620258,106.887455225,106.903689146
unit.000197,Euclidean_dist_14473_16282,N/A,88.2145161629,N/A,88.6244840622,118.69436717,118.717652082
unit.000198,Euclidean_dist_14473_18091,N/A,137.228395224,N/A,137.710199118,165.948734045,165.972563028
unit.000199,Euclidean_dist_14473_19900,N/A,137.6145432,N/A,138.024176121,168.071346045,168.105970144
unit.000200,Euclidean_dist_14473_21709,N/A,22.9357051849,N/A,23.3465971947,57.2369761467,57.2547512054
unit.000201,Euclidean_dist_14473_23518,N/A,23.4838731289,N/A,23.8900301456,54.1746480465,54.1856541634
unit.000202,Euclidean_dist_14473_25327,N/A,23.7317521572,N/A,24.1375620365,54.1959981918,54.2126321793
unit.000203,Euclidean_dist_14473_27136,N/A,24.2799072266,N/A,24.6861851215,58.3282670975,58.3457641602
unit.000204,Euclidean_dist_14473_28945,N/A,29.4452931881,N/A,29.8510792255,60.5721862316,60.5881831646
unit.000205,Euclidean_dist_14473_30754,N/A,24.5280561447,N/A,24.9382390976,59.3912670612,59.4056270123
unit.000206,Euclidean_dist_14473_32563,N/A,39.3571321964,N/A,39.7628221512,67.7615962029,67.7726991177
unit.000207,Euclidean_dist_14473_34372,N/A,29.7077801228,N/A,30.1140320301,61.6149730682,61.6288290024
unit.000208,Euclidean_dist_14473_36181,N/A,25.0766031742,N/A,25.4826610088,58.3438251019,58.3660240173
unit.000209,Euclidean_dist_14473_37990,N/A,25.3240380287,N/A,25.730148077,59.4011111259,59.4128091335
unit.000210,Euclidean_dist_14473_39799,N/A,92.6234030724,N/A,93.0084722042,121.903982162,121.91832304
unit.000211,Euclidean_dist_14473_41608,N/A,93.3934240341,N/A,93.8028070927,125.349040031,125.371013165
unit.000212,Euclidean_dist_14473_43417,N/A,100.398130178,N/A,100.812971115,129.684526205,129.708481073
unit.000213,Euclidean_dist_14473_45226,N/A,92.8049731255,N/A,93.2228310108,121.925539017,121.960706234
unit.000214,Euclidean_dist_14473_47035,N/A,91.0289881229,N/A,91.4380571842,119.765095234,119.818929195
unit.000215,Euclidean_dist_14473_48844,N/A,90.8765540123,N/A,91.2447040081,119.742556095,119.79480505
unit.000216,Euclidean_dist_16282_16282,N/A,91.8041851521,N/A,92.1948170662,109.012824059,109.049081087
unit.000217,Euclidean_dist_16282_18091,N/A,91.9894571304,N/A,92.4052221775,121.928461075,121.960219145
unit.000218,Euclidean_dist_16282_19900,N/A,100.798796177,N/A,101.206655025,130.743854046,130.76288414
