,Duration,Framework,Nodes
688,6247,Spark,2
689,6286,Spark,2
690,6430,Spark,2
691,6435,Spark,2
692,6458,Spark,2
693,6460,Spark,2
694,6499,Spark,2
695,6465,Spark,2
696,6504,Spark,2
697,6469,Spark,2
698,6478,Spark,2
699,6481,Spark,2
700,6482,Spark,2
701,6489,Spark,2
702,6494,Spark,2
703,6496,Spark,2
704,6504,Spark,2
705,6508,Spark,2
706,6549,Spark,2
707,6516,Spark,2
708,6518,Spark,2
709,6519,Spark,2
710,6531,Spark,2
711,6532,Spark,2
712,6555,Spark,2
713,6587,Spark,2
714,6593,Spark,2
715,6625,Spark,2
716,6667,Spark,2
717,6668,Spark,2
718,6813,Spark,2
719,6967,Spark,2
720,8229,Spark,4
721,8225,Spark,4
722,8228,Spark,4
723,8239,Spark,4
724,8248,Spark,4
725,8250,Spark,4
726,8272,Spark,4
727,8278,Spark,4
728,8295,Spark,4
729,8302,Spark,4
730,8308,Spark,4
731,8324,Spark,4
732,8337,Spark,4
733,8352,Spark,4
734,8362,Spark,4
735,8363,Spark,4
736,8352,Spark,4
737,8369,Spark,4
738,8354,Spark,4
739,8364,Spark,4
740,8376,Spark,4
741,8377,Spark,4
742,8381,Spark,4
743,8397,Spark,4
744,8402,Spark,4
745,8410,Spark,4
746,8393,Spark,4
747,8401,Spark,4
748,8412,Spark,4
749,8406,Spark,4
750,8426,Spark,4
751,8428,Spark,4
752,8416,Spark,4
753,8413,Spark,4
754,8439,Spark,4
755,8425,Spark,4
756,8444,Spark,4
757,8438,Spark,4
758,8436,Spark,4
759,8460,Spark,4
760,8457,Spark,4
761,8444,Spark,4
762,8449,Spark,4
763,8457,Spark,4
764,8457,Spark,4
765,8455,Spark,4
766,8472,Spark,4
767,8464,Spark,4
768,8480,Spark,4
769,8469,Spark,4
770,8480,Spark,4
771,8473,Spark,4
772,8480,Spark,4
773,8559,Spark,4
774,8565,Spark,4
775,8564,Spark,4
776,8568,Spark,4
777,8548,Spark,4
778,8572,Spark,4
779,8553,Spark,4
780,8584,Spark,4
781,8593,Spark,4
782,8594,Spark,4
783,8598,Spark,4
784,8603,Spark,4
785,8602,Spark,4
786,8604,Spark,4
787,8612,Spark,4
788,8617,Spark,4
789,8622,Spark,4
790,8626,Spark,4
791,8628,Spark,4
792,8687,Spark,4
793,8710,Spark,4
794,8723,Spark,4
795,8738,Spark,4
796,8761,Spark,4
797,8821,Spark,4
798,8860,Spark,4
799,8850,Spark,4
800,8888,Spark,4
801,8899,Spark,4
802,8904,Spark,4
803,8939,Spark,4
804,8962,Spark,4
805,8991,Spark,4
806,9063,Spark,4
807,9142,Spark,4
808,9154,Spark,4
809,9184,Spark,4
810,9158,Spark,4
811,9180,Spark,4
812,9220,Spark,4
813,9215,Spark,4
814,9446,Spark,4
815,9520,Spark,4
816,6045,Spark,4
817,6048,Spark,4
818,6056,Spark,4
