['watershed_multi-19b03c55-4e7c-484d-a80b-622e2f2158f0', 'processing', 'memory', 'tcp://10.21.255.102:45321', 47662866908928, [['deserialize', 1527364142.134307, 1527364152.737325], ['compute', 1527364152.738188, 1527366526.33733]]]
['watershed_multi-74d30038-6a37-4675-8c00-7d7b01e4e15d', 'processing', 'memory', 'tcp://10.21.255.73:36200', 47852849989376, [['deserialize', 1527364142.150186, 1527364145.574049], ['compute', 1527364145.573645, 1527366526.643577]]]
['watershed_multi-70740896-894a-4738-a919-d17c97a4e4de', 'processing', 'memory', 'tcp://10.21.255.68:38866', 47120425973504, [['deserialize', 1527364142.149723, 1527364145.583527], ['compute', 1527364145.583075, 1527366527.110055]]]
['watershed_multi-669c9ec8-4593-4791-a268-2d62d73cc8a3', 'processing', 'memory', 'tcp://10.21.255.92:41777', 47520329381632, [['deserialize', 1527364142.14949, 1527364145.467989], ['compute', 1527364145.4692242, 1527366527.2415743]]]
['watershed_multi-d5fa7630-7c8b-4b9e-afbb-628b86924b11', 'processing', 'memory', 'tcp://10.21.255.86:38380', 47879829878528, [['deserialize', 1527364156.744396, 1527364177.139723], ['compute', 1527364177.2126577, 1527366528.3443167]]]
['watershed_multi-f5558662-a8ad-4b58-b788-219d9fee1e26', 'processing', 'memory', 'tcp://10.21.255.77:41957', 47378124011264, [['deserialize', 1527364200.821841, 1527364223.850366], ['compute', 1527364224.719159, 1527366532.4915547]]]
['watershed_multi-8614541f-eb65-43e0-9c6e-d528c6c64ce7', 'processing', 'memory', 'tcp://10.21.255.86:33406', 47876608653056, [['deserialize', 1527364142.151537, 1527364145.333967], ['compute', 1527364145.333786, 1527366531.649864]]]
['watershed_multi-3e580766-b042-4d2c-9b5f-f1f64a49796c', 'processing', 'memory', 'tcp://10.21.255.75:43853', 47574820091648, [['deserialize', 1527364142.142414, 1527364146.253216], ['compute', 1527364146.2531657, 1527366532.1843908]]]
['watershed_multi-1938867e-a57c-4531-8959-2f4641bc39b7', 'processing', 'memory', 'tcp://10.21.255.102:44959', 47661457897216, [['deserialize', 1527364142.134115, 1527364152.881461], ['compute', 1527364152.8831236, 1527366532.9447987]]]
['watershed_multi-aaec38a9-b3ad-4e5b-8916-74297519eeeb', 'processing', 'memory', 'tcp://10.21.255.102:43439', 47660652328704, [['deserialize', 1527364142.156458, 1527364156.741084], ['compute', 1527364156.7445905, 1527366533.9035225]]]
['watershed_multi-698dd279-a524-48a5-9d47-cc9a15c4f7a0', 'processing', 'memory', 'tcp://10.21.255.102:35434', 47660048611072, [['deserialize', 1527364142.147741, 1527364152.685188], ['compute', 1527364152.6863296, 1527366534.3139336]]]
['watershed_multi-239aed73-26e0-4c81-a302-5c570f4f8f59', 'processing', 'memory', 'tcp://10.21.255.68:44359', 47118010054400, [['deserialize', 1527364142.137351, 1527364145.663523], ['compute', 1527364145.6630626, 1527366535.0969994]]]
['watershed_multi-074cd2f6-a350-4cec-b1dc-ca1b051713d4', 'processing', 'memory', 'tcp://10.21.255.102:38432', 47660249675520, [['deserialize', 1527364142.133182, 1527364152.546162], ['compute', 1527364152.547145, 1527366535.6606748]]]
['watershed_multi-22a2c97c-f359-49d4-9e03-a0f0b4e28e34', 'processing', 'memory', 'tcp://10.21.255.68:40117', 47120023320320, [['deserialize', 1527364142.137142, 1527364145.583288], ['compute', 1527364145.5829446, 1527366536.1136956]]]
['watershed_multi-e2761120-d856-4873-b1f0-99f7d9665674', 'processing', 'memory', 'tcp://10.21.255.77:36219', 47378728015616, [['deserialize', 1527364167.364321, 1527364188.20829], ['compute', 1527364188.4154456, 1527366536.6671884]]]
['watershed_multi-91b23021-7c64-42c0-83e6-6c0a356f5520', 'processing', 'memory', 'tcp://10.21.255.102:44837', 47662262941440, [['deserialize', 1527364142.152464, 1527364155.024587], ['compute', 1527364155.030299, 1527366536.8922331]]]
['watershed_multi-db9303ba-8094-48ac-bde6-5b231d3ccd21', 'processing', 'memory', 'tcp://10.21.255.68:40671', 47118211643136, [['deserialize', 1527364167.389461, 1527364207.775085], ['compute', 1527364208.031774, 1527366537.407802]]]
['watershed_multi-8bb997a1-5abc-4805-9abe-1de821e132b9', 'processing', 'memory', 'tcp://10.21.255.92:35641', 47520931673856, [['deserialize', 1527364142.152655, 1527364145.52981], ['compute', 1527364145.5294862, 1527366537.796009]]]
['watershed_multi-10d0193d-35b3-4e07-b078-a9ad1884b094', 'processing', 'memory', 'tcp://10.21.255.102:43637', 47663068247808, [['deserialize', 1527364142.133538, 1527364152.521806], ['compute', 1527364152.5229702, 1527366537.8394783]]]
['watershed_multi-65f80b86-0c89-48c0-83c1-f2f258c912dc', 'processing', 'memory', 'tcp://10.21.255.92:38836', 47520526894848, [['deserialize', 1527364142.149438, 1527364145.467976], ['compute', 1527364145.4681652, 1527366538.0528662]]]
