['watershed_multi-f78a2e65-f827-472f-9d98-0605c05d5f8c', 'processing', 'memory', 'tcp://10.21.249.140:46350', 47296720959232, [['deserialize', 1527392756.488717, 1527392759.383406], ['compute', 1527392759.3837867, 1527395226.1458216]]]
['watershed_multi-6144bea2-98eb-494e-8e51-0e875988b446', 'processing', 'memory', 'tcp://10.21.249.140:38970', 47299136886528, [['deserialize', 1527392756.477927, 1527392759.375455], ['compute', 1527392759.3757985, 1527395226.9041045]]]
['watershed_multi-608b780a-7f84-41f3-93eb-e8984ddcd078', 'processing', 'memory', 'tcp://10.21.249.140:35371', 47297324939008, [['deserialize', 1527392756.477893, 1527392759.375419], ['compute', 1527392759.3757765, 1527395228.0862474]]]
['watershed_multi-767b8311-8a15-413e-b060-036bc06de3a7', 'processing', 'memory', 'tcp://10.21.249.140:46198', 47298532902656, [['deserialize', 1527392756.478998, 1527392759.375408], ['compute', 1527392759.3757885, 1527395229.9211245]]]
['watershed_multi-9c1ae2e3-c9c1-47e7-a578-22e13048f895', 'processing', 'memory', 'tcp://10.21.249.140:35103', 47295714326272, [['deserialize', 1527392756.482838, 1527392759.446085], ['compute', 1527392759.446673, 1527395230.5365708]]]
['watershed_multi-4f3ddfe8-c712-425f-898c-b46b998ee9ed', 'processing', 'memory', 'tcp://10.21.249.139:43519', 47952106125056, [['deserialize', 1527392756.476343, 1527392759.481875], ['compute', 1527392759.48261, 1527395233.860794]]]
['watershed_multi-980722cd-510d-4c2a-a0b8-68112df9617b', 'processing', 'memory', 'tcp://10.21.249.139:39599', 47950093907712, [['deserialize', 1527392756.482109, 1527392759.478918], ['compute', 1527392759.479718, 1527395234.048219]]]
['watershed_multi-95f89434-ffb4-4eb5-bd09-f80637ae1434', 'processing', 'memory', 'tcp://10.21.249.139:33969', 47952307451648, [['deserialize', 1527392756.481848, 1527392759.478983], ['compute', 1527392759.4794745, 1527395235.5657787]]]
['watershed_multi-c1a91b29-3f8b-4444-9c07-4a1df4e28ebe', 'processing', 'memory', 'tcp://10.21.249.139:35755', 47950696838912, [['deserialize', 1527392756.484325, 1527392759.563107], ['compute', 1527392759.5639207, 1527395237.5986366]]]
['watershed_multi-e56b6414-2b40-4405-8bae-4fc457d80b07', 'processing', 'memory', 'tcp://10.21.249.139:37779', 47952509040384, [['deserialize', 1527392756.487449, 1527392759.478815], ['compute', 1527392759.4808226, 1527395238.0312517]]]
