['watershed_multi-45695846-e7d5-4fd0-a013-70a39de7dbc6', 'processing', 'memory', 'tcp://10.21.253.19:35161', 47361548121856, [['deserialize', 1527351320.547007, 1527351329.547952], ['compute', 1527351329.5643337, 1527353762.0077395]]]
['watershed_multi-d22c75e4-3589-41a6-915c-ea853b1eb525', 'processing', 'memory', 'tcp://10.21.253.12:34499', 47417382696704, [['deserialize', 1527351320.555903, 1527351323.853739], ['compute', 1527351323.8546631, 1527353762.527656]]]
['watershed_multi-0e8e1da2-1357-4cc4-b15e-9b76f3da74c0', 'processing', 'memory', 'tcp://10.21.253.12:42636', 47416832628480, [['deserialize', 1527351320.541777, 1527351323.787717], ['compute', 1527351323.788456, 1527353762.772412]]]
['watershed_multi-6a67b718-2a3a-46ad-ae6c-39779f912dfe', 'processing', 'memory', 'tcp://10.21.253.19:46414', 47360138835712, [['deserialize', 1527351320.548766, 1527351328.757342], ['compute', 1527351328.7581036, 1527353763.4030116]]]
['watershed_multi-93c2c4fd-acea-4322-86e1-624d66c3b736', 'processing', 'memory', 'tcp://10.21.253.12:40333', 47419798615808, [['deserialize', 1527351320.551168, 1527351323.787799], ['compute', 1527351323.7889535, 1527353763.7861905]]]
['watershed_multi-fccba102-eb05-4aea-9297-e4c37d5a9e21', 'processing', 'memory', 'tcp://10.21.253.12:38721', 47420201273088, [['deserialize', 1527351328.668674, 1527351358.625502], ['compute', 1527351358.6615784, 1527353764.0947235]]]
['watershed_multi-1025042f-1920-4312-b486-7ab6f8c75987', 'processing', 'memory', 'tcp://10.21.253.12:43776', 47421006579456, [['deserialize', 1527351320.541952, 1527351323.788708], ['compute', 1527351323.7905831, 1527353764.5769272]]]
['watershed_multi-507dcc02-1328-4706-bc5b-9d57f46f8c2b', 'processing', 'memory', 'tcp://10.21.253.19:38129', 47359534855936, [['deserialize', 1527351320.547162, 1527351328.611446], ['compute', 1527351328.6122892, 1527353765.1535382]]]
['watershed_multi-24adb109-ff1e-4f64-847b-7a0b1b0146f0', 'processing', 'memory', 'tcp://10.21.253.18:38612', 47898150598400, [['deserialize', 1527351320.545411, 1527351324.724609], ['compute', 1527351324.724987, 1527353769.759151]]]
['watershed_multi-124f0f42-e316-4090-9051-105a7312a9af', 'processing', 'memory', 'tcp://10.21.253.18:34408', 47898955904768, [['deserialize', 1527351320.542925, 1527351324.657787], ['compute', 1527351324.658175, 1527353774.134268]]]
['watershed_multi-9b68203e-5463-4fec-a456-fa4cde3469f1', 'processing', 'memory', 'tcp://10.21.253.19:37338', 47362957670144, [['deserialize', 1527351320.552338, 1527351328.836947], ['compute', 1527351328.8373382, 1527353775.038984]]]
['watershed_multi-bf70d46a-6b47-4965-a53a-fad020497f15', 'processing', 'memory', 'tcp://10.21.253.18:44510', 47899559888640, [['deserialize', 1527351320.554637, 1527351324.656997], ['compute', 1527351324.6593027, 1527353775.5598538]]]
['watershed_multi-bf2bbcf4-0538-49f1-8d48-3cd0b8d935f5', 'processing', 'memory', 'tcp://10.21.253.18:38255', 47901170509568, [['deserialize', 1527351320.554578, 1527351324.657116], ['compute', 1527351324.6572208, 1527353777.2667377]]]
['watershed_multi-70a7e054-71ab-410a-bc98-3b3e133239bc', 'processing', 'memory', 'tcp://10.21.253.8:35809', 47182635890432, [['deserialize', 1527351320.549335, 1527351324.139527], ['compute', 1527351324.139788, 1527353777.338903]]]
