['watershed_multi-1680dadb-d67b-4020-ae56-8d0e15032d70', 'processing', 'memory', 'tcp://10.21.250.229:35999', 46931514521344, [['deserialize', 1527405458.540745, 1527405461.95157], ['compute', 1527405461.9524984, 1527407835.1446965]]]
['watershed_multi-30b32e00-c9d2-4849-a11f-7838ee90f4a3', 'processing', 'memory', 'tcp://10.21.250.231:40015', 47527441229568, [['deserialize', 1527405458.54419, 1527405461.921032], ['compute', 1527405461.9220135, 1527407835.4345005]]]
['watershed_multi-2a309b64-ba6e-4ad1-a4e3-4fc7c7639305', 'processing', 'memory', 'tcp://10.21.250.231:36602', 47525629294336, [['deserialize', 1527405458.543564, 1527405461.929502], ['compute', 1527405461.93047, 1527407836.456179]]]
['watershed_multi-e465ff77-92fe-433e-9581-1ec01c9f565d', 'processing', 'memory', 'tcp://10.21.250.233:35364', 47824129521408, [['deserialize', 1527405458.576661, 1527405461.811518], ['compute', 1527405461.8123927, 1527407836.4893546]]]
['watershed_multi-5d1f40db-e9b4-44c1-891f-1f56ccf4dad5', 'processing', 'memory', 'tcp://10.21.250.237:34442', 47906807645952, [['deserialize', 1527405458.55641, 1527405462.847969], ['compute', 1527405462.8504026, 1527407836.6891615]]]
['watershed_multi-24327478-b884-4d54-a521-b881910a10ba', 'processing', 'memory', 'tcp://10.21.250.229:43615', 46932319827712, [['deserialize', 1527405458.54197, 1527405461.951947], ['compute', 1527405461.9545705, 1527407836.7581365]]]
['watershed_multi-692fbb41-9b94-4f07-9c6c-ca8a955c3ff6', 'processing', 'memory', 'tcp://10.21.250.238:34178', 47356447848192, [['deserialize', 1527405458.558481, 1527405464.909743], ['compute', 1527405464.9103825, 1527407836.7705104]]]
['watershed_multi-751e0ba0-097a-4408-974b-15f45eb74cc4', 'processing', 'memory', 'tcp://10.21.250.222:38077', 47503684695808, [['deserialize', 1527405458.561488, 1527405461.768302], ['compute', 1527405461.7681284, 1527407837.0947924]]]
['watershed_multi-04bf1d24-77cc-4669-ad91-ecc40b34f87d', 'processing', 'memory', 'tcp://10.21.250.222:36236', 47505295320832, [['deserialize', 1527405458.539193, 1527405461.768295], ['compute', 1527405461.7685704, 1527407837.8762474]]]
['watershed_multi-8899d10c-1473-4aaa-9fce-108afd216abd', 'processing', 'memory', 'tcp://10.21.250.233:42487', 47823726868224, [['deserialize', 1527405458.563344, 1527405461.770116], ['compute', 1527405461.7708693, 1527407838.4031694]]]
