Pilot Startuptime:33.7161531448CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000156,Mapper-1-60,N/A,412.489369869,N/A,412.513964891,803.05802393,803.071959972,0.032269,201.153574,0.002818
unit.000157,Mapper-1-61,N/A,425.652900934,N/A,425.669255018,846.936645031,846.964454889,0.035408,225.242218,0.002455
unit.000158,Mapper-1-62,N/A,402.32939887,N/A,402.371372938,734.671398878,734.683593988,0.047166,191.866432,0.002879
unit.000159,Mapper-1-63,N/A,405.791442871,N/A,405.814598799,832.565804958,832.577363968,0.030294,238.766983,0.002857
unit.000160,Mapper-1-64,N/A,442.491120815,N/A,442.511376858,930.486481905,930.498076916,0.031197,231.012634,0.001846
unit.000161,Mapper-1-65,N/A,420.057312012,N/A,420.074002981,836.682921886,836.694669962,0.031037,223.548608,0.002862
unit.000162,Mapper-1-66,N/A,422.670243025,N/A,422.722960949,923.354626894,923.365954876,0.033121,249.122275,0.002728
unit.000163,Mapper-1-67,N/A,407.377592802,N/A,407.405424833,808.271912813,808.28391695,0.030536,215.456806,0.002608
unit.000164,Mapper-1-68,N/A,410.989097834,N/A,411.040446997,853.575803995,853.589474916,0.030517,241.706666,0.002321
unit.000165,Mapper-1-69,N/A,403.057952881,N/A,403.073518991,529.528781891,529.548060894,0.042926,122.585463,0.00222
unit.000166,Mapper-1-70,N/A,409.139441967,N/A,409.199069977,871.222671032,871.234310865,0.03401,248.905111,0.002692
unit.000167,Mapper-1-71,N/A,398.957391024,N/A,398.972040892,762.221114874,762.233549833,0.034244,196.810762,0.002379
unit.000168,Mapper-1-72,N/A,416.278430939,N/A,416.307677031,856.912495852,856.927310944,0.03291,235.834725,0.002862
unit.000169,Mapper-1-73,N/A,418.413522959,N/A,418.517102003,880.413751841,880.428979874,0.031597,242.018508,0.002603
unit.000170,Mapper-1-74,N/A,435.237809896,N/A,435.253847837,891.649230957,891.660604954,0.028657,227.807612,0.002499
unit.000171,Mapper-1-75,N/A,435.08809185,N/A,435.104688883,920.288930893,920.302757978,0.02862,235.016521,0.002507
unit.000172,Mapper-1-76,N/A,435.99364686,N/A,436.013895988,907.006202936,907.018129826,0.027394,230.805825,0.00371
unit.000173,Mapper-1-77,N/A,430.786303997,N/A,430.817348957,890.623584032,890.635900021,0.03176,232.221856,0.002434
unit.000174,Mapper-1-78,N/A,439.81663084,N/A,439.833432913,902.915228844,902.927522898,0.029867,226.211119,0.002527
unit.000175,Mapper-1-79,N/A,438.25593996,N/A,438.275470972,899.844664812,899.857483864,0.029449,226.702471,0.002896
unit.000176,Mapper-1-80,N/A,439.059216022,N/A,439.079612017,913.106352806,913.117226839,0.0298,229.40222,0.002573
unit.000177,Mapper-1-81,N/A,440.119042873,N/A,440.136826992,926.408216953,926.419026852,0.030164,231.855917,0.002022
unit.000178,Mapper-1-82,N/A,440.87428689,N/A,440.892583847,931.522210836,931.53438592,0.031205,233.117118,0.00189
unit.000179,Mapper-1-83,N/A,428.428220034,N/A,428.443831921,822.327620983,822.338841915,0.036705,201.676325,0.003161
unit.000180,Mapper-1-84,N/A,411.742041826,N/A,411.765760899,831.512141943,831.563596964,0.031818,230.914937,0.005091
unit.000181,Mapper-1-85,N/A,404.148525953,N/A,404.177083969,770.379105806,770.39068985,0.032573,192.722495,0.003001
unit.000182,Mapper-1-86,N/A,418.356812954,N/A,418.441046953,858.965764999,858.979624987,0.029346,235.577421,0.003448
unit.000183,Mapper-1-87,N/A,404.155690908,N/A,404.21122098,814.046818018,814.05883193,0.03607,222.907644,0.002224
unit.000184,Mapper-1-88,N/A,419.317081928,N/A,419.42888999,852.553153992,852.567364931,0.029012,232.056035,0.002706
unit.000185,Mapper-1-89,N/A,424.903988838,N/A,424.920373917,885.511893988,885.524447918,0.029909,236.482805,0.002373
unit.000186,Mapper-1-90,N/A,436.009897947,N/A,436.034646988,829.464449883,829.4772439,0.031003,205.880405,0.002351
unit.000187,Mapper-1-91,N/A,398.459018946,N/A,398.473502874,590.645241976,590.657639027,0.029915,171.156459,0.00237
unit.000188,Mapper-1-92,N/A,407.419623852,N/A,407.492926836,804.093376875,804.104967833,0.02978,208.621369,0.002749
unit.000189,Mapper-1-93,N/A,397.266855955,N/A,397.333716869,706.258100986,706.271677017,0.037038,194.001863,0.00245
unit.000190,Mapper-1-94,N/A,400.492846966,N/A,400.507728815,634.362300873,634.375617027,0.029585,175.750965,0.002305
unit.000191,Mapper-1-95,N/A,430.796885014,N/A,430.842373848,910.048502922,910.060278893,0.026755,236.846039,0.002481
unit.000192,Mapper-1-96,N/A,431.68907094,N/A,431.706882954,848.99283886,849.006323814,0.018866,218.566399,0.003034
unit.000193,Reducer-1,N/A,945.452149868,N/A,945.700194836,N/A,N/A,0.176413,0.02184,0.004285
unit.000194,Mapper-2-1,N/A,993.903234959,N/A,993.927697897,1269.55640984,1269.56928587,0.030046,226.070595,0.00231
unit.000195,Mapper-2-2,N/A,979.771081924,N/A,979.81633997,1285.55206203,1285.56462383,0.031878,244.983712,0.002914
unit.000196,Mapper-2-3,N/A,990.475335836,N/A,990.494568825,1255.7985878,1255.81049085,0.028812,222.158347,0.002658
unit.000197,Mapper-2-4,N/A,999.848418951,N/A,999.881603003,1293.40946603,1293.79023695,0.030404,225.800183,0.002904
unit.000198,Mapper-2-5,N/A,989.571048021,N/A,989.591884851,1277.02588892,1277.03978491,0.029436,233.229104,0.002609
unit.000199,Mapper-2-6,N/A,987.921947002,N/A,988.035805941,1331.59066892,1331.60271096,0.029764,246.900261,0.002693
unit.000200,Mapper-2-7,N/A,987.914503813,N/A,987.953491926,1267.53088784,1267.54217887,0.029848,231.766474,0.002617
unit.000201,Mapper-2-8,N/A,979.755489826,N/A,979.783277035,1249.37143993,1249.49980497,0.031151,230.819452,0.00293
unit.000202,Mapper-2-9,N/A,985.79517293,N/A,985.831037998,1257.87497592,1257.89070892,0.030216,227.723855,0.002959
unit.000203,Mapper-2-10,N/A,984.908378839,N/A,984.968080997,1286.56676888,1286.62440896,0.03064,240.216475,0.002654
unit.000204,Mapper-2-11,N/A,984.177909851,N/A,984.255366802,1246.27926588,1246.29550481,0.029522,225.539996,0.0024
unit.000205,Mapper-2-12,N/A,983.061239958,N/A,983.125118017,1261.38043499,1261.39318681,0.031834,233.518453,0.003062
unit.000206,Mapper-2-13,N/A,982.142808914,N/A,982.163918018,1244.2109139,1244.22268295,0.032186,222.245032,0.002744
unit.000207,Mapper-2-14,N/A,979.050331831,N/A,979.088495016,1232.96540594,1232.97693682,0.028702,212.810725,0.002795
unit.000208,Mapper-2-15,N/A,978.253332853,N/A,978.278750896,1264.44128895,1264.48543191,0.03077,237.431857,0.002899
unit.000209,Mapper-2-16,N/A,984.165681839,N/A,984.23652792,1248.35033393,1248.37004185,0.031233,225.166484,0.002898
unit.000210,Mapper-2-17,N/A,978.10281682,N/A,978.12269783,1234.00506783,1234.01873398,0.032509,215.381801,0.002727
unit.000211,Mapper-2-18,N/A,976.126598835,N/A,976.155243874,1272.92657781,1272.93820596,0.031546,244.815738,0.003084
unit.000212,Mapper-2-19,N/A,975.975867033,N/A,976.00799799,1253.54059196,1253.55258799,0.02884,235.77223,0.002568
unit.000213,Mapper-2-20,N/A,975.207798958,N/A,975.252662897,1228.62139893,1229.91920996,0.028356,209.298854,0.002669
unit.000214,Mapper-2-21,N/A,974.306421995,N/A,974.324107885,1214.98255301,1214.99530482,0.042809,182.906412,0.006751
unit.000215,Mapper-2-22,N/A,972.764411926,N/A,972.786126852,1225.52316499,1225.53481793,0.056994,199.544804,0.002527
unit.000216,Mapper-2-23,N/A,972.750176907,N/A,972.782464981,1216.01565289,1216.02795386,0.033977,184.154588,0.001919
