,Nodes,Run,ID,Measurement,Duration
372,2,3,28,Execution,141.573810101
373,2,3,28,Communication,5.10215759277e-05
374,2,3,28,Barrier,56.7980360985
375,2,3,29,Execution,56.3231430054
376,2,3,29,Communication,3.50475311279e-05
377,2,3,29,Barrier,3.40413689613
378,2,3,30,Execution,141.667212009
379,2,3,30,Communication,4.41074371338e-05
380,2,3,30,Barrier,56.7030858994
381,2,3,31,Execution,141.596940994
382,2,3,31,Communication,4.91142272949e-05
383,2,3,31,Barrier,56.7749109268
384,2,3,32,Execution,141.65506506
385,2,3,32,Communication,9.60826873779e-05
386,2,3,32,Barrier,56.7166399956
387,2,3,33,Execution,141.625440836
388,2,3,33,Communication,3.69548797607e-05
389,2,3,33,Barrier,56.7459549904
390,2,3,34,Execution,141.670928955
391,2,3,34,Communication,4.81605529785e-05
392,2,3,34,Barrier,56.7009630203
393,2,3,35,Execution,141.49515605
394,2,3,35,Communication,4.00543212891e-05
395,2,3,35,Barrier,56.8765070438
396,2,3,36,Execution,141.435914993
397,2,3,36,Communication,5.91278076172e-05
398,2,3,36,Barrier,56.9304111004
399,2,3,37,Execution,141.443471909
400,2,3,37,Communication,4.10079956055e-05
401,2,3,37,Barrier,56.9282388687
402,2,3,38,Execution,141.300785065
403,2,3,38,Communication,5.57899475098e-05
404,2,3,38,Barrier,57.0707678795
405,2,3,39,Execution,141.531548023
406,2,3,39,Communication,4.50611114502e-05
407,2,3,39,Barrier,56.8401148319
408,2,3,40,Execution,141.464114904
409,2,3,40,Communication,0.000119924545288
410,2,3,40,Barrier,56.9075660706
411,2,3,41,Execution,141.556686878
412,2,3,41,Communication,4.50611114502e-05
413,2,3,41,Barrier,56.8150331974
414,2,3,42,Execution,141.305511951
415,2,3,42,Communication,5.57899475098e-05
416,2,3,42,Barrier,57.0661292076
417,2,3,43,Execution,141.278532982
418,2,3,43,Communication,4.79221343994e-05
419,2,3,43,Barrier,57.0932650566
420,2,3,44,Execution,141.447008848
421,2,3,44,Communication,5.69820404053e-05
422,2,3,44,Barrier,56.9246191978
423,2,3,45,Execution,141.276404858
424,2,3,45,Communication,4.41074371338e-05
425,2,3,45,Barrier,57.0951831341
426,2,3,46,Execution,141.15525198
427,2,3,46,Communication,5.31673431396e-05
428,2,3,46,Barrier,57.216411829
429,2,3,47,Execution,141.139138937
430,2,3,47,Communication,4.6968460083e-05
431,2,3,47,Barrier,57.2324700356
432,2,4,0,Execution,145.582854033
433,2,4,0,Communication,0.000117063522339
434,2,4,0,Barrier,142.350692034
435,2,4,1,Execution,132.867203951
436,2,4,1,Communication,3.69548797607e-05
437,2,4,1,Barrier,155.049873114
438,2,4,2,Execution,132.919641018
439,2,4,2,Communication,5.29289245605e-05
440,2,4,2,Barrier,155.001619101
441,2,4,3,Execution,132.969256878
442,2,4,3,Communication,4.98294830322e-05
443,2,4,3,Barrier,154.952173948
444,2,4,4,Execution,132.781579018
445,2,4,4,Communication,4.79221343994e-05
446,2,4,4,Barrier,155.139580011
447,2,4,5,Execution,132.994658947
448,2,4,5,Communication,3.60012054443e-05
449,2,4,5,Barrier,154.925497055
450,2,4,6,Execution,132.841720104
451,2,4,6,Communication,4.60147857666e-05
452,2,4,6,Barrier,155.082736015
453,2,4,7,Execution,132.882364988
454,2,4,7,Communication,4.81605529785e-05
455,2,4,7,Barrier,155.0397439
456,2,4,8,Execution,132.885932922
457,2,4,8,Communication,5.60283660889e-05
458,2,4,8,Barrier,155.036007166
459,2,4,9,Execution,132.861896992
460,2,4,9,Communication,3.2901763916e-05
461,2,4,9,Barrier,155.060213089
462,2,4,10,Execution,287.921437979
463,2,4,10,Communication,4.50611114502e-05
464,2,4,10,Barrier,5.69820404053e-05
465,2,4,11,Execution,132.831717014
466,2,4,11,Communication,4.79221343994e-05
467,2,4,11,Barrier,155.088570833
468,2,4,12,Execution,287.894065857
469,2,4,12,Communication,5.50746917725e-05
470,2,4,12,Barrier,0.025936126709
471,2,4,13,Execution,132.219213963
472,2,4,13,Communication,3.50475311279e-05
473,2,4,13,Barrier,155.699904919
474,2,4,14,Execution,132.194347143
475,2,4,14,Communication,5.41210174561e-05
476,2,4,14,Barrier,155.721421957
477,2,4,15,Execution,132.220161915
478,2,4,15,Communication,4.41074371338e-05
479,2,4,15,Barrier,155.70075202
480,2,4,16,Execution,132.178845882
481,2,4,16,Communication,5.29289245605e-05
482,2,4,16,Barrier,155.741851091
483,2,4,17,Execution,132.215450048
484,2,4,17,Communication,3.60012054443e-05
485,2,4,17,Barrier,155.705361843
486,2,4,18,Execution,132.117877007
487,2,4,18,Communication,4.6968460083e-05
488,2,4,18,Barrier,155.803012133
489,2,4,19,Execution,132.225488186
490,2,4,19,Communication,4.10079956055e-05
491,2,4,19,Barrier,155.695330858
492,2,4,20,Execution,134.76960516
493,2,4,20,Communication,5.10215759277e-05
494,2,4,20,Barrier,155.755678892
495,2,4,21,Execution,132.20148015
496,2,4,21,Communication,3.60012054443e-05
497,2,4,21,Barrier,155.719388962
498,2,4,22,Execution,132.225044012
499,2,4,22,Communication,4.79221343994e-05
500,2,4,22,Barrier,155.695434093
501,2,4,23,Execution,132.226319075
502,2,4,23,Communication,3.69548797607e-05
503,2,4,23,Barrier,155.694270134
504,2,4,24,Execution,144.408957005
505,2,4,24,Communication,6.91413879395e-05
506,2,4,24,Barrier,143.245944023
507,2,4,25,Execution,144.387221098
508,2,4,25,Communication,3.60012054443e-05
509,2,4,25,Barrier,143.267654896
510,2,4,26,Execution,144.335968971
511,2,4,26,Communication,4.88758087158e-05
512,2,4,26,Barrier,143.318837881
513,2,4,27,Execution,144.296362877
514,2,4,27,Communication,5.10215759277e-05
515,2,4,27,Barrier,143.358314037
516,2,4,28,Execution,144.345711946
517,2,4,28,Communication,5.19752502441e-05
518,2,4,28,Barrier,143.308726072
519,2,4,29,Execution,144.411602974
520,2,4,29,Communication,3.60012054443e-05
521,2,4,29,Barrier,143.243338108
522,2,4,30,Execution,144.362725973
523,2,4,30,Communication,4.81605529785e-05
524,2,4,30,Barrier,143.291885138
525,2,4,31,Execution,144.401947021
526,2,4,31,Communication,3.81469726562e-05
527,2,4,31,Barrier,143.252802134
528,2,4,32,Execution,144.40218997
529,2,4,32,Communication,8.60691070557e-05
530,2,4,32,Barrier,143.252562046
531,2,4,33,Execution,144.410235167
532,2,4,33,Communication,3.69548797607e-05
533,2,4,33,Barrier,143.244562864
534,2,4,34,Execution,144.387881994
535,2,4,34,Communication,4.6968460083e-05
536,2,4,34,Barrier,143.26690793
537,2,4,35,Execution,144.376085043
