['block_rmsd-8c279cb8925e9a5d1a2da76515c76a73', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495737670.2634273, 1495737678.1998522)]]
['block_rmsd-acbaa5a976925c598d55801333506578', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737670.265808, 1495737678.201647)]]
['getitem-80848768acbfda4027f5cfa76ee0770f', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737678.190631, 1495737678.1906378)]]
['getitem-b0b939ac0d2d47f11a3c775264704299', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737678.1912057, 1495737678.1912107)]]
['getitem-536cc1fe054d23bb622fe50a423d8184', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737678.191558, 1495737678.191563)]]
['getitem-459331a4031401457796edeab854f758', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737678.1921737, 1495737678.1921787)]]
['getitem-f0e910996de398103ca083c74dceb90a', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737678.1927059, 1495737678.1927109)]]
['block_rmsd-bf46b54a6588227ab614063523319f41', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737670.264232, 1495737678.204393)]]
['block_rmsd-34036f28ae7b12b622b2cbb3604f6e70', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495737670.257001, 1495737678.200665)]]
['block_rmsd-7af0bfb926e561650ea987e05ffd469b', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737670.246213, 1495737678.20083)]]
['block_rmsd-8a36a7fc2c49d45dcf554d36ad1491e9', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495737670.263893, 1495737678.205091)]]
['block_rmsd-577e6cfd1844ab9e7ecc471478b21807', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737670.2655451, 1495737678.212351)]]
['getitem-361adf908ee3fbf1753b7c9a467da5b3', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737678.2142482, 1495737678.2142591)]]
['getitem-106778f84b08c60a5044d4f1419356f3', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737678.2149112, 1495737678.214916)]]
['getitem-4524e8f55208daac454c9980924531da', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737678.215306, 1495737678.215311)]]
['getitem-3cb67b392f6fb11032be2912e3a578dc', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737678.215763, 1495737678.215769)]]
['getitem-da15fa74ff9bd7311bd4c4e155d88311', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737678.2162151, 1495737678.2162201)]]
['getitem-c32a7de1c7181d8b017f2d45912d366e', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495737678.215852, 1495737678.215863)]]
['getitem-77c2e38d3fd7ec026a7eb3277d9293fc', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495737678.216635, 1495737678.21664)]]
['getitem-99adde9d9cf3c14ffa063c2a998b5ce2', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495737678.217245, 1495737678.217251)]]
['getitem-6bb98abf49a23a272950770552894f43', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495737678.21787, 1495737678.217874)]]
['getitem-b6b2de80157a0ce47c00ddc4fed16970', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495737678.218466, 1495737678.218472)]]
['getitem-8352a7d99444be4305fc6b6573a1ce3b', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737678.216245, 1495737678.2162588)]]
['getitem-5eecdc56d4c1306aac71583ea4b87423', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737678.2170808, 1495737678.2170858)]]
['getitem-5b8d2a47e4e9653c7b3e8bc3c7d8aa0c', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737678.217511, 1495737678.217517)]]
['getitem-83cae21a2a060fe6738df3a2abca295e', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737678.2181728, 1495737678.2181778)]]
['getitem-ac86a854169445c3802dc30a9e6ccf0a', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737678.218592, 1495737678.218596)]]
['block_rmsd-bcb20c56bcf27a10ceea1a79b9c4334f', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737670.259943, 1495737678.218977)]]
['getitem-555463d062e1488082c8ecdb6ee4406f', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495737678.2209291, 1495737678.220941)]]
['getitem-55c50f92131dcc4debabb1436ff7d84e', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495737678.221591, 1495737678.221595)]]
['getitem-88e5b9e0c241556e893870ebcd8a7ee8', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495737678.2219522, 1495737678.2219572)]]
['getitem-15cc0ba513574a127de17bf52d70e643', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495737678.2224422, 1495737678.2224462)]]
['getitem-8998fe755c9f4ea1ad5c989024f6bbce', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495737678.2228632, 1495737678.222867)]]
['getitem-a6e93c720cf0d3af3fbdf40b7bc8402d', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495737678.216482, 1495737678.2164938)]]
['getitem-6874e4f5ff3bd1b13c388b731e163cfe', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495737678.21713, 1495737678.217135)]]
['getitem-7397a569a384d3d4c608055e346336a9', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495737678.217534, 1495737678.217539)]]
['getitem-1186c7d50fcf739dad896722d0ec934f', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495737678.217964, 1495737678.217968)]]
['getitem-45c8a83c09ac4ddf7b25a87d308f3e56', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495737678.2183719, 1495737678.218376)]]
['block_rmsd-c752494dba902e3e7e969975ff21f72b', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737670.263304, 1495737678.2197251)]]
['block_rmsd-b3a85bb4e5ecef1b6efe1caba9398b60', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495737670.263288, 1495737678.2234392)]]
['block_rmsd-1e3dc6aea50a4ad97fa75456db0477b7', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495737670.246278, 1495737678.2202032)]]
['block_rmsd-ef9b7df010f13380ff8c16e75aeacbaf', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495737670.2542968, 1495737678.224537)]]
['getitem-6ff9bd5a60699c9598fe549d40cd2072', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737678.2239132, 1495737678.223926)]]
['getitem-89e6192a8c2bba141fd59a09bcc2da61', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737678.224574, 1495737678.224579)]]
['getitem-a8fbe213a965485c5145af017f1d479c', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737678.224972, 1495737678.2249782)]]
['getitem-bb40297000c8e897b6734fc2ba78279c', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737678.225423, 1495737678.2254272)]]
['getitem-f0fe2aea0325a56defc5049a1de615ec', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737678.2258532, 1495737678.225857)]]
['block_rmsd-87d39556997f6bad6a97f1da11487a90', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737670.2622068, 1495737678.2342708)]]
