['block_rmsd-9f2ea4d35398b9c5cc1565e4c593ed3a', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737613.515549, 1495737623.5226269)]]
['block_rmsd-fd546fe35ce2b8705fec008ea528f970', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737613.530967, 1495737623.52369)]]
['block_rmsd-c80995dd7ec12a0baa6ebc0a037e28a4', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737613.515307, 1495737623.511461)]]
['getitem-f94381f375494d083044bc8077bd422f', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737623.525142, 1495737623.52515)]]
['getitem-c18742ac5ec36382a7a10f8132bb06b8', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737623.525906, 1495737623.525916)]]
['getitem-6117601fbf6cd207b6a038158b565cd2', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737623.52658, 1495737623.526588)]]
['getitem-7d3cb8dfa6aef76d0dc0309abbd6a542', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737623.527323, 1495737623.52733)]]
['getitem-d47f32f565daf8a7867aceae563788e6', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737623.527977, 1495737623.527995)]]
['getitem-2f178e485d906e73a41070e3cb057d58', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495737623.5259209, 1495737623.5259259)]]
['getitem-e5985057d6768a14d8f128e57667041e', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495737623.5265129, 1495737623.5265188)]]
['getitem-ea715feaa07bf2e1702b743477cad60e', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495737623.5269167, 1495737623.5269208)]]
['getitem-74495e4e6a331e757b0c83b2184d1471', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495737623.5275, 1495737623.5275037)]]
['getitem-ebd041effa0d91a466ecf601f96086b2', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495737623.527876, 1495737623.5278797)]]
['getitem-63a041c7cf6c09e59445141f0925b3cd', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737623.5250409, 1495737623.5250468)]]
['getitem-4132385dca755eb17ba53c89fbd15af2', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737623.5256388, 1495737623.525645)]]
