['block_rmsd-104e0ae1c07e759caf31caa17841c43e', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742263.2407901, 1495742281.048443)]]
['getitem-9c3fa04f1f26bf3667664f7abd729848', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742281.052599, 1495742281.052605)]]
['getitem-946e1749557bad194d423770109de94f', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742281.053185, 1495742281.053191)]]
['getitem-4c6dbad596f03c0cf2b5f3e510bd1dc3', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742281.053584, 1495742281.053589)]]
['getitem-0dc063649a9de2dcfd8497ebf17f12f7', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742281.053999, 1495742281.054004)]]
['getitem-df8d018eec830890d2c30cebe18b8889', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742281.054631, 1495742281.054636)]]
['block_rmsd-294b15ae1c0105fd4d32767dafbf6994', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495742263.236692, 1495742281.175623)]]
['getitem-449c08175ce843e79eb66d8d33e1d128', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495742281.190501, 1495742281.190589)]]
['getitem-88d08505b2c084eb9446d85cf39a695a', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495742281.191235, 1495742281.191427)]]
['getitem-fe3507a8c815b9bb27db172addd3507a', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495742281.192444, 1495742281.192503)]]
['getitem-333d2a2c53b6814d733c8ae243635160', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495742281.193042, 1495742281.193048)]]
['getitem-8ac28166730b5dd45f6b4def6e2ecb42', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495742281.193552, 1495742281.193556)]]
['block_rmsd-55eddc70f3b658abb5b326d23ed6a715', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495742263.234037, 1495742281.385615)]]
['getitem-32abc3392f5bee4433d206be76d26ee0', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495742281.393204, 1495742281.393213)]]
