['block_rmsd-8a833b7f2b75651336aabe085a98e739', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495741424.3653042, 1495741450.2815542)]]
['getitem-8c489b069b32c915218a158122702cf4', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495741450.2856102, 1495741450.2856152)]]
['getitem-9c978f33766d5034a326a8306d020d73', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495741450.286215, 1495741450.2862213)]]
['getitem-ce3a483a657cbc56b8b1a43ad8a332d0', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495741450.2866142, 1495741450.286621)]]
['getitem-7301c1331e62bb4ee087369e9df19c73', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495741450.2870142, 1495741450.287018)]]
['getitem-a0936ff8f9e2d876e42fb0783d20da0d', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495741450.287445, 1495741450.2874482)]]
['block_rmsd-7870d9e89279d81cd10430bd202335a5', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741424.366085, 1495741450.287976)]]
['getitem-b3173e2cf5369c538f171c7cb1420660', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741450.2945921, 1495741450.294598)]]
['getitem-5141461d1dc896139640d6ba48deaafb', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741450.295165, 1495741450.295171)]]
['getitem-129b367d3c9dc86cdaa6aea44782e204', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741450.295682, 1495741450.295687)]]
['getitem-2689b5edc6b593d16e7c72889aeb6c22', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741450.296084, 1495741450.296089)]]
['getitem-cf5d6b1d792d679843a9a7e41f87fb12', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495741450.2965481, 1495741450.2965531)]]
['block_rmsd-05d0d69129ab302f47c0d8fd52d4ed47', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495741424.369699, 1495741450.31192)]]
['getitem-c0d8083be97d3a08c56472619dd611df', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495741450.316359, 1495741450.316368)]]
['getitem-f2f528301c6f17ae9398c333e0f52222', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495741450.317074, 1495741450.317084)]]
['getitem-2d233df1dc8b491d0fdbf3675b80ee54', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495741450.317625, 1495741450.317633)]]
['getitem-4d8ba3702c29040df8cf740cb2d958be', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495741450.318111, 1495741450.318118)]]
['getitem-7faa08ff26183fd80c0b6ad87cbd3ba2', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495741450.318595, 1495741450.318602)]]
['block_rmsd-1bc432bd4847ef0d490a9d1a97bbe0bd', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495741424.377508, 1495741450.342882)]]
['getitem-f7745fdcedcd228e53f9e9f4725b7ae8', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495741450.34725, 1495741450.347255)]]
['getitem-dd6c8a3af085c6c0277bab6aa13a025e', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495741450.34784, 1495741450.347846)]]
['getitem-a598fae99e72165b7aeb89ad1aecf1d9', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495741450.348253, 1495741450.348258)]]
['getitem-67ded7f236cb9843449c09368728b1f7', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495741450.348708, 1495741450.348712)]]
['getitem-cb3b901cf4a4c655e896ce676e5a2c99', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495741450.349165, 1495741450.349169)]]
['block_rmsd-ba906f9d70b80442ecfea72c3e213746', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741424.36587, 1495741450.3768668)]]
['getitem-e6142241eb55d1ac7915a88f21af8959', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741450.381068, 1495741450.381075)]]
['getitem-bca2a9879deaf15405330f6ae5af4562', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741450.3817148, 1495741450.3817198)]]
['getitem-6f3e32197c0c5a19c3d6c00b178c8283', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741450.382108, 1495741450.382113)]]
