['block_rmsd-a93247af073c9d43ad7aff3a14cd92b1', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741710.337192, 1495741732.486758)]]
['getitem-2db67f654f0cf9d71a51e63ea9c9a157', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741732.49057, 1495741732.4905772)]]
['getitem-a9904db8a907c1c5a1e2a3130abd7426', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741732.4911742, 1495741732.491178)]]
['getitem-e0926d9f53c6747775b5dd16b0436124', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741732.491564, 1495741732.491569)]]
['getitem-250dd03be28228d52dd06f30f1a49a99', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741732.491966, 1495741732.49197)]]
['getitem-98b79639187315d7f68003d802e40023', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741732.4923692, 1495741732.4923732)]]
['block_rmsd-4191170c5231d0043eb3eb451ef6bdef', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741710.3283498, 1495741732.648934)]]
['getitem-cee033977bc4534529231a26d5544a52', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741732.6530828, 1495741732.6531098)]]
['getitem-62c5ba4d1f47745ab54c3b03e61482b5', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741732.653827, 1495741732.6538348)]]
['getitem-cfb5f3090f1defbb4810e2cdc2518dd0', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741732.654342, 1495741732.6543498)]]
['getitem-10b975a76d07dddd9a2f5abffa0560f8', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741732.6548629, 1495741732.6548707)]]
['getitem-a7340000105d941c286a4adcede1479a', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741732.655403, 1495741732.6554098)]]
['block_rmsd-d1d634b18c5de8f8bc2e35d36d992161', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741710.3355029, 1495741732.7891529)]]
['getitem-9723737b48d01c10f25e25dd48a18a61', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741732.79275, 1495741732.792759)]]
['getitem-99c10891b0d65281eed1988c3ee53efd', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741732.793397, 1495741732.7934039)]]
['getitem-38a746405d47fd0127ac90f06cfd86ad', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741732.793844, 1495741732.7938519)]]
['getitem-3ba9207b30afc9df5e91238f51ff4779', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741732.794308, 1495741732.7943149)]]
['getitem-46a1e8170c99d60a06bbe67a1ca257d1', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495741732.794822, 1495741732.794829)]]
['block_rmsd-6f186e9bd7943965ca60587043d50335', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741710.3294349, 1495741732.894533)]]
['getitem-a35fb7aa9929dd155c8683aada059223', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741732.898843, 1495741732.898853)]]
['getitem-af936ead3fc355587fd6bc38ec7068e7', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741732.899497, 1495741732.899504)]]
['getitem-84230f1cecfe21c6dd3bc57a59d4e8a5', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741732.899947, 1495741732.899955)]]
['getitem-36460da9427aed9fd6640a7c1a2e875f', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741732.900429, 1495741732.900436)]]
['getitem-48047bc859beeba9ef0881836b47ceec', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741732.900991, 1495741732.9009979)]]
['block_rmsd-6dc90348cf4ee977dcabc9a8a00760e5', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741710.3275077, 1495741733.0007858)]]
['getitem-b357ad0c04cfa398a8f87c58454f7bad', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741733.0051727, 1495741733.00518)]]
['getitem-e084256aa40bf84f7a2a43af501598f7', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741733.005746, 1495741733.005751)]]
['getitem-3cdc8c8db1091ed44643f0680da786eb', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741733.006137, 1495741733.006142)]]
['getitem-9378f90e859e67588dd230e5b8d97da9', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741733.0067208, 1495741733.0067258)]]
['getitem-bde7ec9807913cda8b348bf7269454e8', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741733.007182, 1495741733.0071857)]]
