['block_rmsd-f0a6df23e4e10a72aa3a4233d0fd80a2', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495741286.9508731, 1495741312.282015)]]
['getitem-babd8662afb65138cbd1c5802c77e5c0', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495741312.2863472, 1495741312.286354)]]
['getitem-97fc2c28e6c45be427deb92a47f63633', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495741312.2870681, 1495741312.287085)]]
['getitem-1c0f0ee5c6710562b3240b0f710ea190', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495741312.287578, 1495741312.2875862)]]
['getitem-09f9320bc34f8848ab0c8ea352a2e0a3', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495741312.288304, 1495741312.2883213)]]
['getitem-58532dd3e00ac15ad9970efeb40877af', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495741312.2890732, 1495741312.2890801)]]
['block_rmsd-574f9a23c4427b72e867c7a20f703bac', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495741286.9512842, 1495741312.291994)]]
['getitem-45b3d9b409b353d6ec34be24794254c3', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495741312.296163, 1495741312.2961721)]]
['getitem-70926fdb991c671d9046133233295d02', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495741312.296897, 1495741312.296907)]]
['getitem-0d7e6578a63138528a43204f00ee7c92', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495741312.29745, 1495741312.29748)]]
['getitem-47dfdfaca90fa36f9766e326e7212ecd', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495741312.298291, 1495741312.2982981)]]
['getitem-78702a5f25820ffac3372bbf7ea85a14', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495741312.2989821, 1495741312.298989)]]
['block_rmsd-ed627b184ff28cbb1ad9f6b2f9d8cba3', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741286.958683, 1495741312.324625)]]
['getitem-475d6c1b4270715d5b714ba174b72f0d', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741312.329125, 1495741312.329133)]]
['getitem-68197555c66c2c3c3dad878e61c56193', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741312.32985, 1495741312.329858)]]
['getitem-0ddd7ed62e7b866f93001c19677840bd', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741312.330296, 1495741312.330303)]]
['getitem-910af90755ee6b3dbec381e2e89718f9', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741312.330791, 1495741312.330798)]]
['getitem-f76d1fc3c25b100574a1e6f0c31f1c23', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495741312.331357, 1495741312.331364)]]
['block_rmsd-125209c4d71da85a4e1f2d026dcd9a18', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495741286.9578629, 1495741312.3708239)]]
['getitem-637fefb10b914e7b867dce8baf91eeb5', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495741312.374223, 1495741312.374228)]]
