t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508429274,7937,5.029681,0.153832,0.000154,0.405845,0.080138,0.239248,0.308013,0.391983,2.649916,5.029681,8.096116,6.859215,8.129733,6.522207,calls/second,milliseconds
1508429284,8523,3.670421,0.114806,0.000154,0.379664,0.062309,0.117353,0.268556,0.353590,2.814030,3.670421,8.606083,15.176995,9.800354,7.099445,calls/second,milliseconds
1508429294,8523,3.670421,0.114806,0.000154,0.379664,0.062309,0.117353,0.268556,0.353590,2.814030,3.670421,8.520062,12.847049,9.479060,7.020999,calls/second,milliseconds
1508429304,8523,3.670421,0.114806,0.000154,0.379664,0.062309,0.117353,0.268556,0.353590,2.814030,3.670421,8.435732,10.874792,9.168300,6.943419,calls/second,milliseconds
1508429314,8523,3.670421,0.114806,0.000154,0.379664,0.062309,0.117353,0.268556,0.353590,2.814030,3.670421,8.353051,9.205313,8.867727,6.866697,calls/second,milliseconds
1508429324,8523,3.670421,0.114806,0.000154,0.379664,0.062309,0.117353,0.268556,0.353590,2.814030,3.670421,8.271980,7.792129,8.577009,6.790823,calls/second,milliseconds
1508429334,8523,3.670421,0.114806,0.000154,0.379664,0.062309,0.117353,0.268556,0.353590,2.814030,3.670421,8.192479,6.595895,8.295821,6.715787,calls/second,milliseconds
1508429344,9109,8.952548,0.123565,0.000154,0.545261,0.060036,0.096670,0.218020,0.358202,3.367684,8.952548,8.672378,14.954099,9.960997,7.290886,calls/second,milliseconds
1508429354,9109,8.952548,0.123565,0.000154,0.545261,0.060036,0.096670,0.218020,0.358202,3.367684,8.952548,8.590601,12.658372,9.634437,7.210324,calls/second,milliseconds
1508429364,9109,8.952548,0.123565,0.000154,0.545261,0.060036,0.096670,0.218020,0.358202,3.367684,8.952548,8.510343,10.715080,9.318582,7.130653,calls/second,milliseconds
1508429374,9109,8.952548,0.123565,0.000154,0.545261,0.060036,0.096670,0.218020,0.358202,3.367684,8.952548,8.431568,9.070120,9.013083,7.051862,calls/second,milliseconds
1508429384,9109,8.952548,0.123565,0.000154,0.545261,0.060036,0.096670,0.218020,0.358202,3.367684,8.952548,8.354235,7.677690,8.717599,6.973942,calls/second,milliseconds
1508429394,9109,8.952548,0.123565,0.000154,0.545261,0.060036,0.096670,0.218020,0.358202,3.367684,8.952548,8.278307,6.499025,8.431802,6.896883,calls/second,milliseconds
1508429404,9695,5.685749,0.108625,0.000226,0.425274,0.059509,0.074216,0.208673,0.375418,2.784288,5.685749,8.731525,14.872100,10.092520,7.469980,calls/second,milliseconds
1508429414,9695,5.685749,0.108625,0.000226,0.425274,0.059509,0.074216,0.208673,0.375418,2.784288,5.685749,8.653572,12.588961,9.761648,7.387440,calls/second,milliseconds
1508429424,9695,5.685749,0.108625,0.000226,0.425274,0.059509,0.074216,0.208673,0.375418,2.784288,5.685749,8.577016,10.656325,9.441623,7.305812,calls/second,milliseconds
1508429434,9695,5.685749,0.108625,0.000226,0.425274,0.059509,0.074216,0.208673,0.375418,2.784288,5.685749,8.501804,9.020385,9.132090,7.225085,calls/second,milliseconds
1508429444,9695,5.685749,0.108625,0.000226,0.425274,0.059509,0.074216,0.208673,0.375418,2.784288,5.685749,8.427907,7.635591,8.832704,7.145251,calls/second,milliseconds
1508429454,9695,5.685749,0.108625,0.000226,0.425274,0.059509,0.074216,0.208673,0.375418,2.784288,5.685749,8.355260,6.463388,8.543134,7.066299,calls/second,milliseconds
1508429464,10281,5.685749,0.112468,0.000226,0.424155,0.060665,0.090450,0.221603,0.383604,2.858142,3.988900,8.784580,14.841935,10.200202,7.637525,calls/second,milliseconds
1508429474,10281,5.685749,0.112468,0.000226,0.424155,0.060665,0.090450,0.221603,0.383604,2.858142,3.988900,8.710159,12.563426,9.865800,7.553133,calls/second,milliseconds
1508429484,10281,5.685749,0.112468,0.000226,0.424155,0.060665,0.090450,0.221603,0.383604,2.858142,3.988900,8.636982,10.634711,9.542360,7.469674,calls/second,milliseconds
1508429494,10281,5.685749,0.112468,0.000226,0.424155,0.060665,0.090450,0.221603,0.383604,2.858142,3.988900,8.565045,9.002088,9.229525,7.387137,calls/second,milliseconds
1508429504,10281,5.685749,0.112468,0.000226,0.424155,0.060665,0.090450,0.221603,0.383604,2.858142,3.988900,8.494263,7.620103,8.926945,7.305512,calls/second,milliseconds
1508429514,10281,5.685749,0.112468,0.000226,0.424155,0.060665,0.090450,0.221603,0.383604,2.858142,3.988900,8.424657,6.450278,8.634285,7.224789,calls/second,milliseconds
1508429524,10867,5.685749,0.112798,0.000301,0.413621,0.060486,0.091651,0.213983,0.558610,2.858142,3.895909,8.832473,14.830837,10.288365,7.794264,calls/second,milliseconds
1508429534,10867,5.685749,0.112798,0.000301,0.413621,0.060486,0.091651,0.213983,0.558610,2.858142,3.895909,8.761263,12.554033,9.951072,7.708140,calls/second,milliseconds
1508429544,10867,5.685749,0.112798,0.000301,0.413621,0.060486,0.091651,0.213983,0.558610,2.858142,3.895909,8.691192,10.626759,9.624837,7.622968,calls/second,milliseconds
1508429554,10867,5.685749,0.112798,0.000301,0.413621,0.060486,0.091651,0.213983,0.558610,2.858142,3.895909,8.622235,8.995357,9.309298,7.538737,calls/second,milliseconds
1508429564,10867,5.685749,0.112798,0.000301,0.413621,0.060486,0.091651,0.213983,0.558610,2.858142,3.895909,8.554377,7.614406,9.004102,7.455437,calls/second,milliseconds
