Executable,Number_Messages,Nodes,TTC,Throughput,System,parallel_tasks,Partitions,Dask-Config,Dask_Nodes
PeakFinder,500,1.0,54.0830380917,9.24504276466,Wrangler,24,12,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,97.4724159241,5.12965637775,Wrangler,1,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,56.1936340332,8.89780503793,Wrangler,2,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,44.3005259037,11.2865477283,Wrangler,3,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,40.5434310436,12.3324540408,Wrangler,4,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,36.0459740162,13.871174622,Wrangler,5,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,43.6749989986,11.4481971715,Wrangler,6,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,37.7888131142,13.2314290605,Wrangler,7,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,41.7433240414,11.9779632188,Wrangler,8,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,46.3138520718,10.7959061411,Wrangler,9,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,30.9897110462,16.1343872892,Wrangler,10,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,40.2035820484,12.4367027644,Wrangler,11,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,34.2415091991,14.6021601178,Wrangler,12,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,29.9451541901,16.697192368,Wrangler,13,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,48.0935969353,10.3963943615,Wrangler,14,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,29.1865649223,17.131169815,Wrangler,15,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,62.4085922241,8.0117173322,Wrangler,16,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,89.0255358219,5.616366084,Wrangler,1,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,54.8561840057,9.11474265049,Wrangler,2,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,47.2003831863,10.5931343402,Wrangler,3,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,43.00060606,11.6277430905,Wrangler,4,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,40.7923600674,12.2571971608,Wrangler,5,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,39.1868059635,12.7593966312,Wrangler,6,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,37.2832322121,13.4108544333,Wrangler,7,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,38.9733860493,12.8292676281,Wrangler,8,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,36.5254569054,13.6890826936,Wrangler,9,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,49.6613938808,10.0681829672,Wrangler,10,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,32.5350449085,15.3680439479,Wrangler,11,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,28.8605630398,17.3246793318,Wrangler,12,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,32.7213020325,15.280565532,Wrangler,13,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,29.8681411743,16.7402449681,Wrangler,14,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,68.3389520645,7.31647157141,Wrangler,15,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,54.1248281002,9.23790462806,Wrangler,16,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,43.9503798485,11.3764659537,Wrangler,17,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,38.1849739552,13.0941558475,Wrangler,18,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,29.5117430687,16.9424082758,Wrangler,19,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,54.7629189491,9.13026569063,Wrangler,20,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,49.2587060928,10.1504899267,Wrangler,21,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,53.2243680954,9.39419325944,Wrangler,22,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,80.7845420837,6.18930289265,Wrangler,23,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,74.1031501293,6.74735148408,Wrangler,24,12,kafka-gpfs-flush-10s,1.0
PeakFinder,500,1.0,90.3348908424,5.53495991789,Wrangler,1,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,56.2144441605,8.89451114331,Wrangler,2,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,46.3475010395,10.7880681544,Wrangler,3,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,43.3921639919,11.5228178086,Wrangler,4,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,44.1931550503,11.3139693111,Wrangler,5,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,39.8399949074,12.5502024075,Wrangler,6,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,38.7961997986,12.8878602182,Wrangler,7,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,38.7482390404,12.9038122088,Wrangler,8,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,36.439622879,13.7213275137,Wrangler,9,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,60.9179270267,8.20776451865,Wrangler,10,24,kafka-gpfs-producer_linger_5s,1.0
