CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000022,Euclidean_dist_1_90113,24.0098149776,24.2757918835,167.245203972,174.836484909,176.293849945
unit.000023,Euclidean_dist_1_94209,24.1841678619,24.2820730209,167.314112902,175.321820974,176.446117878
unit.000024,Euclidean_dist_1_98305,24.1893000603,24.2847089767,174.716268063,176.517845869,177.529730082
unit.000025,Euclidean_dist_1_102401,24.1972880363,24.2885959148,174.813888073,176.637922049,177.608995914
unit.000026,Euclidean_dist_1_106497,24.2086830139,24.2939479351,175.33089304,178.255135059,178.752243042
unit.000027,Euclidean_dist_1_110593,24.2197220325,24.2990870476,176.586093903,178.335646868,178.864958048
unit.000028,Euclidean_dist_1_114689,24.2361979485,24.3079249859,177.375211954,179.143434048,180.151009083
unit.000029,Euclidean_dist_1_118785,24.2456479073,24.3140778542,178.274468899,180.651121855,181.29144907
unit.000030,Euclidean_dist_1_122881,24.2533268929,24.3187260628,178.316436052,180.666205883,181.357698917
unit.000031,Euclidean_dist_1_126977,24.2672979832,24.3262939453,178.388800859,181.15563488,181.516768932
unit.000032,Euclidean_dist_4097_1,6.8166079521,6.8200008869,8.7189509869,24.1926009655,27.8458769321
unit.000033,Euclidean_dist_4097_4097,6.825109005,6.8273839951,8.8404259682,23.4117629528,27.9393370152
unit.000034,Euclidean_dist_4097_8193,6.8319139481,6.8343119621,8.8824939728,23.8668379784,28.0031030178
unit.000035,Euclidean_dist_4097_12289,6.8462319374,6.8485078812,8.9433739185,28.0353159904,29.1902830601
unit.000036,Euclidean_dist_4097_16385,6.8559498787,6.858355999,9.00491786,30.3830840588,30.7412610054
unit.000037,Euclidean_dist_4097_20481,6.8753590584,6.8779349327,9.1238088608,28.0452110767,29.4010949135
unit.000038,Euclidean_dist_4097_24577,6.8687739372,6.8709549904,9.0778310299,30.3951449394,30.7956058979
unit.000039,Euclidean_dist_4097_28673,6.8851249218,6.8877310753,9.2024099827,30.3862378597,30.8485689163
unit.000040,Euclidean_dist_4097_32769,6.8944020271,6.8969080448,9.2965350151,28.0962340832,29.4985189438
unit.000041,Euclidean_dist_4097_36865,6.9016010761,6.9038589001,11.2599549294,28.098706007,29.5065059662
unit.000042,Euclidean_dist_4097_40961,6.9105069637,6.9126780033,23.0640900135,28.1033449173,29.5592319965
