CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000062,Euclidean_dist_1_122881,N/A,78.8604450226,78.8604450226,147.925537109,147.928189993,147.929435968,147.929687977,147.943150043,148.688377142,148.695017099,148.699033976,82.4325420856,82.4589879513
unit.000063,Euclidean_dist_1_126977,N/A,175.230158091,175.230158091,244.298362017,244.67800808,244.67939496,244.679672003,244.680927038,245.458595991,245.45997715,245.463890076,178.871389151,178.899543047
unit.000064,Euclidean_dist_4097_1,N/A,262.168583155,262.168583155,331.620831013,331.623638153,331.624887943,331.625230074,331.626674175,332.363185167,332.364670038,332.368343115,265.394476175,265.422753096
unit.000065,Euclidean_dist_4097_4097,N/A,271.976274967,271.976274967,341.495475054,341.498250961,341.499426126,341.499672174,341.512968063,342.217972994,342.223453045,342.226382017,274.394833088,274.421864986
unit.000066,Euclidean_dist_4097_8193,N/A,279.594087124,279.594087124,349.088200092,349.090422153,349.09149313,349.091761112,349.105242014,349.759369135,349.764619112,349.767712116,282.23922801,282.267438173
unit.000067,Euclidean_dist_4097_12289,N/A,-15.8653419018,-15.8653419018,52.9389650822,52.9420061111,52.9434621334,52.9438531399,52.9453420639,53.6763939857,53.6779661179,53.681538105,-12.1913728714,-12.164981842
unit.000068,Euclidean_dist_4097_16385,N/A,179.39501214,179.39501214,248.503359079,248.505871058,248.50711298,248.507382154,248.508646011,249.182914972,249.184370995,249.18849802,181.348963976,181.375638962
unit.000069,Euclidean_dist_4097_20481,N/A,69.676584959,69.676584959,138.879959106,138.882184029,138.88340497,138.883653164,138.896808147,140.233971119,140.240334034,140.243523121,73.5599610806,73.5863959789
unit.000070,Euclidean_dist_4097_24577,N/A,112.236413002,112.236413002,181.350759029,181.35393405,181.355345964,181.355667114,181.357244968,182.089688063,182.091187954,182.094822168,114.999487162,115.026196957
unit.000071,Euclidean_dist_4097_28673,N/A,-41.0128569603,-41.0128569603,27.7341220379,27.7362439632,27.7374510765,27.7377650738,27.7510800362,28.4247331619,28.4262311459,28.4301390648,-38.7822589874,-38.756166935
unit.000072,Euclidean_dist_4097_32769,N/A,195.221765041,195.221765041,264.340703964,264.343825102,264.345085144,264.345360041,264.346740961,265.080857992,265.082380056,265.087180138,198.396557093,198.423516989
unit.000073,Euclidean_dist_4097_36865,N/A,236.665383101,236.665383101,306.069596052,306.072848082,306.074381113,306.074717045,306.076341152,306.820443153,306.821797132,306.834148169,238.77466011,238.801136971
unit.000074,Euclidean_dist_4097_40961,N/A,282.367544174,282.367544174,351.810222149,351.813694,351.814964056,351.815269947,351.816684008,352.473678112,352.475084066,352.478494167,285.541809082,285.570883989
unit.000075,Euclidean_dist_4097_45057,N/A,48.7287800312,48.7287800312,117.970582962,117.973332167,117.974694014,117.975022078,117.976446152,118.714887142,118.716407061,118.720185995,51.4037439823,51.4302661419
unit.000076,Euclidean_dist_4097_49153,N/A,34.0751740932,34.0751740932,103.322982073,103.32595706,103.327388048,103.327706099,103.329134941,104.034923077,104.036425114,104.040550947,36.8803591728,36.9070169926
unit.000077,Euclidean_dist_4097_53249,N/A,196.187896013,196.187896013,265.238455057,265.241314173,265.242449045,265.242722034,265.243935108,265.986583948,265.98795414,266.010401011,198.497997999,198.524671078
unit.000078,Euclidean_dist_4097_57345,N/A,122.702471018,122.702471018,191.841176987,191.84427309,191.84563899,191.845947981,191.847510099,192.550812006,192.552278996,192.556564093,125.036556005,125.063337088
unit.000079,Euclidean_dist_4097_61441,N/A,214.872950077,214.872950077,283.847341061,283.850159168,283.851338148,283.85160017,283.865367174,284.596487045,284.60277009,284.606112003,216.892007113,216.918971062
unit.000080,Euclidean_dist_4097_65537,N/A,257.123095036,257.123095036,326.715605974,326.718304157,326.71945405,326.719725132,326.732890129,327.432703972,327.438022137,327.440868139,259.869693995,259.901734114
unit.000081,Euclidean_dist_4097_69633,N/A,-62.070761919,-62.070761919,6.81252813339,6.81475806236,6.81579303741,6.81607794762,6.83110809326,7.71604895592,7.72353696823,7.72665500641,-59.2566559315,-59.2310819626
unit.000082,Euclidean_dist_4097_73729,N/A,-17.9343218803,-17.9343218803,50.7048540115,50.7076170444,50.7088439465,50.7092010975,50.7222371101,51.4632191658,51.4661231041,51.4690129757,-15.4371130466,-15.4103720188
