CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000231,Mapper-2-38,N/A,75.926,N/A,75.943,83.067,83.069,0.006504,3.910927,0.004003

unit.000232,Mapper-2-39,N/A,76.108,N/A,76.123,83.07,83.071,0.006581,3.819609,0.004315

unit.000233,Mapper-2-40,N/A,76.581,N/A,76.595,83.072,83.074,0.007125,3.943152,0.003608

unit.000234,Mapper-2-41,N/A,77.236,N/A,77.25,83.077,83.079,0.006796,3.946599,0.003943

unit.000235,Mapper-2-42,N/A,78.544,N/A,78.558,86.099,86.101,0.006929,4.047948,0.004074

unit.000236,Mapper-2-43,N/A,92.784,N/A,92.799,99.232,99.234,0.007294,4.088585,0.003622

unit.000237,Mapper-2-44,N/A,96.311,N/A,96.344,103.267,103.269,0.006335,3.946045,0.00384

unit.000238,Mapper-2-45,N/A,106.224,N/A,106.24,114.362,114.364,0.005944,3.850699,0.003819

unit.000239,Mapper-2-46,N/A,106.988,N/A,107.004,114.365,114.367,0.006569,3.908964,0.003795

unit.000240,Mapper-2-47,N/A,100.529,N/A,100.556,106.31,106.312,0.005895,3.861593,0.003625

unit.000241,Mapper-2-48,N/A,102.682,N/A,102.705,108.327,108.329,0.006382,3.868336,0.003813

unit.000242,Mapper-2-49,N/A,99.144,N/A,99.159,106.298,106.3,0.00618,3.915143,0.003731

unit.000243,Mapper-2-50,N/A,94.204,N/A,94.219,101.244,101.246,0.00609,4.158776,0.003613

unit.000244,Mapper-2-51,N/A,82.764,N/A,82.78,88.134,88.136,0.007729,3.840717,0.003971

unit.000245,Mapper-2-52,N/A,101.15,N/A,101.166,108.317,108.319,0.007243,3.903208,0.003775

unit.000246,Mapper-2-53,N/A,98.382,N/A,98.409,106.296,106.297,0.006214,3.867785,0.004158

unit.000247,Mapper-2-54,N/A,99.145,N/A,99.168,106.3,106.302,0.006296,3.939237,0.003786

unit.000248,Mapper-2-55,N/A,97.761,N/A,97.794,104.281,104.286,0.006355,3.873222,0.003958

unit.000249,Mapper-2-56,N/A,104.219,N/A,104.234,111.342,111.344,0.007061,4.02688,0.004142

unit.000250,Mapper-2-57,N/A,92.123,N/A,92.137,99.229,99.231,0.007481,3.808443,0.003543
