['getitem-42aebd4071de457487b7669a4918e68a', 'processing', 'memory', 'tcp://129.114.91.3:43393', 47363083609856, [('compute', 1496176047.56194, 1496176047.561946)]]
['block_rmsd-a83329e5f5b8fd1ef972f75f7ed7e95b', 'processing', 'memory', 'tcp://129.114.91.3:46694', 47363083609856, [('compute', 1496176039.932308, 1496176047.797118)]]
['getitem-3d36f75e8f238c9d0475fa68dd8a07cd', 'processing', 'memory', 'tcp://129.114.91.3:46694', 47363083609856, [('compute', 1496176047.7985702, 1496176047.7985752)]]
['block_rmsd-064d60fb18a99b9e290e0621eb92b4f0', 'processing', 'memory', 'tcp://129.114.91.2:38443', 46941277345536, [('compute', 1496176041.645123, 1496176048.039596)]]
['getitem-043dadae53e042e61b93288b8f20a963', 'processing', 'memory', 'tcp://129.114.91.2:38443', 46941277345536, [('compute', 1496176048.040588, 1496176048.040593)]]
['block_rmsd-e6eea48373145f199b13a42f982ac4f5', 'processing', 'memory', 'tcp://129.114.90.254:46968', 47520476657408, [('compute', 1496176039.699649, 1496176048.106374)]]
['getitem-2b492ef7c95c8c308cce8c0d018313cd', 'processing', 'memory', 'tcp://129.114.90.254:46968', 47520476657408, [('compute', 1496176048.107353, 1496176048.107359)]]
['block_rmsd-f34283128726d7914b4118f1fe355d16', 'processing', 'memory', 'tcp://129.114.91.3:38857', 47363083609856, [('compute', 1496176040.9978058, 1496176048.142506)]]
['getitem-48fa5b7dc39d1b32cd163470f92fa9e0', 'processing', 'memory', 'tcp://129.114.91.3:38857', 47363083609856, [('compute', 1496176048.143512, 1496176048.143517)]]
['block_rmsd-8cc2f10ad9c9a9af447f822bed1d8fac', 'processing', 'memory', 'tcp://129.114.91.1:60519', 47891426555648, [('compute', 1496176041.862958, 1496176048.338862)]]
['getitem-0b562c15a6126b3f49070ac6e7142b8e', 'processing', 'memory', 'tcp://129.114.91.1:60519', 47891426555648, [('compute', 1496176048.3398938, 1496176048.3398988)]]
['block_rmsd-32f7ad50fdb519937e6652fd82b26242', 'processing', 'memory', 'tcp://129.114.91.2:48105', 46941277345536, [('compute', 1496176041.8004599, 1496176048.546928)]]
['getitem-511af635d690b5b459228f26c167ae9b', 'processing', 'memory', 'tcp://129.114.91.2:48105', 46941277345536, [('compute', 1496176048.547922, 1496176048.5479288)]]
['block_rmsd-6bb258a3389f382417cd9948aade7d7f', 'processing', 'memory', 'tcp://129.114.91.1:39753', 47891426555648, [('compute', 1496176040.7114918, 1496176048.571028)]]
['getitem-1d344dd88112a86019ee3a9d61149e67', 'processing', 'memory', 'tcp://129.114.91.1:39753', 47891426555648, [('compute', 1496176048.5721, 1496176048.5721068)]]
