Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
2224000,2232000,416,8000,206821.0,4660.85492189
2232000,2240000,417,8000,207338.0,4662.45732415
2240000,2248000,418,8000,207855.0,4665.37810545
2248000,2256000,419,8000,208372.0,4668.61445448
2256000,2264000,420,8000,208889.0,4670.20041604
2264000,2272000,421,8000,209406.0,4674.49191032
2272000,2280000,422,8000,209922.0,4678.37190157
2280000,2288000,423,8000,210440.0,4682.5303748
2288000,2296000,424,8000,210957.0,4685.67951429
2296000,2304000,425,8000,211474.0,4688.8093586
2304000,2312000,426,8000,211984.0,4692.78904311
2312000,2320000,427,8000,212489.0,4692.27390628
2320000,2328000,428,8000,212993.0,4695.22760051
2328000,2336000,429,8000,213498.0,4698.18518646
2336000,2344000,430,8000,214002.0,4701.11200104
2344000,2352000,431,8000,214506.0,4703.99919642
2352000,2360000,432,8000,215011.0,4701.94619615
2360000,2368000,433,8000,215515.0,4699.87025227
2368000,2376000,434,8000,216019.0,4701.03339469
2376000,2384000,435,8000,216524.0,4702.27729729
2384000,2392000,436,8000,217028.0,4703.47536322
2392000,2400000,437,8000,217532.0,4704.64504977
2400000,2408000,438,8000,218037.0,4705.91723588
2408000,2416000,439,8000,218542.0,4706.4924528
2416000,2424000,440,8000,219048.0,4709.39357868
2424000,2432000,441,8000,219554.0,4710.69409558
2432000,2440000,442,8000,220060.0,4708.75081831
2440000,2448000,443,8000,220566.0,4710.00888774
2448000,2456000,444,8000,221072.0,4711.22337457
2456000,2464000,445,8000,221577.0,4715.010481
2464000,2472000,446,8000,222083.0,4717.81684117
2472000,2480000,447,8000,222589.0,4719.01909127
2480000,2488000,448,8000,223095.0,4721.8289196
2488000,2496000,449,8000,223601.0,4725.6362971
2496000,2504000,450,8000,224107.0,4728.48548242
2504000,2512000,451,8000,224599.0,4729.03089527
2512000,2520000,452,8000,225077.0,4729.80312826
2520000,2528000,453,8000,225556.0,4727.39679382
2528000,2536000,454,8000,226035.0,4720.08388198
2536000,2544000,455,8000,226513.0,4717.6974046
2544000,2552000,456,8000,226992.0,4721.09451266
2552000,2560000,457,8000,227471.0,4723.47180231
2560000,2568000,458,8000,227949.0,4724.26512224
2568000,2576000,459,8000,228428.0,4721.89484119
2576000,2584000,460,8000,228906.0,4719.63883701
2584000,2592000,461,8000,229385.0,4720.52090082
2592000,2600000,462,8000,229863.0,4721.26516122
2600000,2608000,463,8000,230342.0,4719.17368883
2608000,2616000,464,8000,230859.0,4717.33804618
2616000,2624000,465,8000,231377.0,4718.64234705
2624000,2632000,466,8000,231895.0,4716.78838195
2632000,2640000,467,8000,232413.0,4720.52393494
2640000,2648000,468,8000,232930.0,4723.27026151
2648000,2656000,469,8000,233448.0,4726.03489307
2656000,2664000,470,8000,233965.0,4728.77536971
2664000,2672000,471,8000,234483.0,4731.63804917
2672000,2680000,472,8000,235001.0,4732.96902961
2680000,2688000,473,8000,235518.0,4731.17394197
2688000,2696000,474,8000,236036.0,4729.35133138
2696000,2704000,475,8000,236553.0,4726.76175339
2704000,2712000,476,8000,237062.0,4727.88483992
2712000,2720000,477,8000,237563.0,4731.33294369
2720000,2728000,478,8000,238064.0,4734.37689481
